,pros,negs,profession,day,month,year
22,Fast growth and promotions compared to industry roles.,Hard work/life balance and low pay for hours,Senior Tax Consultant,15,May,2022
23,Great perks and benefits for employees,Service industry so bad work life balance,Senior Consultant,15,May,2022
24,Good pay and benefits and flexibility,"A difficult company to progress, especially if you are black",Advisory Consultant,27,May,2022
25,"- Everyone respects each others time and bandwidth
- Work is engaging and challenging in a good way","-Risk of burnout when staffing is running low
- If you like a project, it will eventually run out and you'll change projects",Manager,13,May,2022
26,"Brand value , support systems","1. Unethical PDM model of talent acquisition 
2. Can you believe a HR changing offer letter after joining Deloitte Consulting ? Is there a professional ethics doing? 
3. Violations on hiring; grievances never addressed
4 calling a PDM talent model as full time but it’s actually a contract nature",Project Delivery Lead,16,Jun,2022
27,Incredible coworkers my entire career,Long hours. Extremely busy in March.,Tax Manager,12,May,2022
28,"Great benefits and work-life balance
Very friendly people
Lots of help if you need it
Very welcoming environment
Very clear and communicated career growth structure","The only con I could think of is that the Delivery Center pay is slightly lower than expected. It's decent, but not amazing.",Audit & Assurance Assistant,12,May,2022
29,"Great people, community feel, transparency","long hours, tech heavy, salaries are not best in the market",Senior Manager,12,May,2022
30,"Benefits, Pay, great leadership, and Job stability",Hours required are kinda high,Senior Consultant,13,May,2022
31,"Very large company with a lot of resources at your disposal.

You'll learn a lot in a very short period of time.

Bonuses and pay raises every year depending on performance.","Can be difficult to move into different areas that you're not directly hired for.

Promotions take a very long time. 2-3 year minimums once you get past senior Consultant. You will need to network a lot to get out of these minimums.",Consultant,12,May,2022
32,"Plenty of Salesforce projects to work on, if you’re starting out in Salesforce it’s pretty hard to be on the bench for long. Remote work for most positions. Tons of opportunities and trainings to build your skillset.","Pay is not as competitive for software engineer, at least in Florida.",Solution Analyst,13,May,2022
33,5 Weeks Off is tremendous,"I didn't love accounting, and I hated the job.",Audit Assistant,25,May,2022
34,Great cross-industry experience and vertical growth opportunities.,Long working hours and poor work-life balance.,Consultant,25,May,2022
35,"Great benefits
Awesome trips and social events
Clear performance review process","Some teams can be overly competitive
Have to be careful to take credit for what you do",Strategy Analyst,11,May,2022
36,Good pay and good growth,"Bad recruiting process, recruiter lie",Consultant,12,May,2022
37,Benefits and great time off,Work hard and play hard,Talent Manager,10,May,2022
38,"Awesome company, responsive leadership, positive outlook long term",Long hours and it so big,Analyst,10,May,2022
39,Excellent company with a lot of Career opportunities.,No downsides to this company and culture.,Solution Analyst,11,May,2022
40,Good place to network and grow,Lots of work for the money made,Tax Senior Associate,10,May,2022
41,Hybrid work model; good benefits,Can end up working long hours due to shortage of resources; management or team might not always be a good fit,Audit Senior,10,May,2022
42,"If you find the right role, life is good","If you get stuck on the wrong role, life becomes hell",Consultant,11,May,2022
43,"Scale of engagements
Technology
Good team support","Long hours
Not much learning curve",Senior Tax Accountant,11,May,2022
44,"Networking
Great culture
Keeps you busy
Fun
Exciting there is always work to be done","Work life balance
Pay
Hours
Tiring
Lots of work",Business Analyst,11,May,2022
45,It had offered me the opportunity to explore different projects and broaden my horizons in different industries.,So far i would say not a competitive software engineering pay.,Solutions Engineer,11,May,2022
46,"- Great salary, and bonuses 
- Solid benefits package, specially for Puerto Rico
- Lot's of opportunities in different areas
- Have various opportunities to gain knowledge and experience","- Long wait times for interviews and getting final offer letter
- When onboarded, you have to look for opportunities again
- Employees seem overworked and seem to miss simple details
- Usability Metric leads to unhealthy work/life balance",Software Developer,11,May,2022
47,"Work with some really smart people, overall impact of work you deliver builds a nice story for your career","- Work life balance is always a hit or miss, depending on your project / client.
- Profits drive everything so you'll be pushed to your limit",Manager,10,May,2022
48,Plenty of parking spaces available,"I was recently talking to a tech recruiter about a development job and he said that the worst part of my resume was that I started my dev career at Deloitte. Apparently ""real tech companies"" know Deloitte's tech is old and unimpressive (he actually said ""sucks"") and that devs leaving Deloitte haven't acquired they skills they need to succeed elsewhere. Thank god I didn't stick around there too long.",Solutions Analyst,10,Jun,2022
49,Many benefits and opportunities available,"Moving around is not as easy as they make it seem,",Consultant,10,May,2022
50,"- Great co-workers
- Generous PTO","- Long busy season
- Limited ability to move up fast",Senior Consultant,10,May,2022
51,You can move throughout Deloitte,Too many processes that do not connect to each other,Manager,24,May,2022
52,growth is amazing at Deloitte,Work life balance is not well.,Specialist Leader,9,May,2022
53,Exposure to many audit clients and industries; travel to Deloitte University for training,"Low pay compared to corporate accounting roles, poor work/life balance, normalized frequently working overtime without additional pay or recognition; business model is to hire kids out of college knowing the majority will burn out and leave within 3 years so there is little done to retain talent",Audit Senior,3,May,2022
54,"Great PTO (5 weeks), plenty of built-in holidays (around 20 days), great extra benefits like the wellness subsidy, lots of opportunity to learn, lots of flexibility once you have some seniority, and great resume builder. Salaries have gone up a lot closer to market rates.  If you have a good team, your life will be much easier.","Busy season is busy season of course. Possibly long hours during interim and planning as well. 401k match could be much better. They are constantly rolling out new technology which can lead to a lot of frustration. If you’re on a bad team, your life will be much harder. Understaffing is usually an issue.",Anonymous Employee,4,May,2022
55,"Generally, a very collegial place with a bright, hardworking staff which wants to realize client success","The hours can be long and demanding, and at more senior levels the politics can be quite challenging",Managing Director,9,May,2022
56,lots of knowledge to be gained,no work life balance for consultants,Solutions Architect,9,May,2022
57,good bad ugly hard long,commute drive hours long cheap,Senior Auditor,23,May,2022
58,"Good projects, big clients, range of work much of which can be very impactful to clients and firm","Usually long hours, very networking dependent, sometimes hard to get into the work you like to do, ie takes a lot of networking with right people to help you move",Manager,8,May,2022
59,Big sea to get lost in if you are lazy,"Treatment of experienced hires, no salary transparency, nepotism",Senior Consultant,8,Jun,2022
60,lots of resources to take advantage of,a bad manager or project could ruin your life,Business Analyst,10,Jun,2022
61,"I haven't started. The salary is 90,000 base. Sign-On Bonus is 12,500. The bonus is split into two checks.",I haven't started at Deloitte yet.,Business Technology Solutions Analyst,20,Apr,2022
62,Deloitte is a great company with a strong structure and support for employee growth. Team members are often close and people have the flexibility to move to new projects when needed.,"The general expectation is to work 40 hours on client work and another 10-20 on firm initiatives and proposals, which can lead to long weeks.",Senior Consultant,3,May,2022
63,"Paid time off , subsidiary","well being ,work life balance",Tax Consultant- II,6,May,2022
64,"Amazing pay
Great benefits 
Own your career","Your firm culture experience depends on your project and the projects can become very clickish very fast. Don’t settle for the first project that is thrown your way, stand up and stay firm.",Software Engineer,19,May,2022
65,Great exceptional nice fantastic unreal,None literally nothing to talk about,Senior Advisory Consultant,6,May,2022
66,"Flexibility to work from home 100%, opportunity to travel (recently), supportive management, interesting work, lots of perks, great experience overall!","Huge company, can get difficult to navigate. Salary could be higher.",Marketing,6,May,2022
67,"Flexible work hours, flexible work colocation, supportive teams, friendly culture, diverse teams.","Incredibly understaffed. The company is doing nothing to keep mid-level employees from leaving, which puts incredible strain on managers and new hires. It makes it a lot harder to get properly trained, which is supposed to be one of the perks of working here.",Advisory Analyst,5,May,2022
68,"Pay, Benefits, Training, Network, Interesting work",The potential for burnout if you're not with leaders who help you establish and enforce boundaries,Manager,6,May,2022
69,The pay and the teams are nice,Long hours and deadlines that always seems tough to meet. Little training and teams are constantly busy so not much time to ask questions.,Advisory Consultant,17,May,2022
70,"- Benefits
- Pay 
- Virtual Working Environment","- Long Hours 
- Lack of work/life balance 
- You have to search and interview for projects
- Lack of diversity",Consultant,20,May,2022
71,"Quality of people, interesting strategy projects, career progression opportunities","Slow time to progress from level to level (compared to competitors), difficulties establishing and fostering culture in new hybrid environment",Consulting Manager,5,May,2022
72,Good pay and good culture,lots of meetings all the time,BSA Analyst,5,May,2022
73,Opportunities to work with reputed clients,Working long hours and hard to maintain work-life balance,Tax Associate,4,May,2022
74,"work with high-performing individuals that create an environment where you either, appreciate the passion for growing your skillset or resent the prioritization of professional over personal advancement",competitive environment filled with Type-A personalities,Managing Director,4,May,2022
75,"Actively and genuinely working on ways in improve the health and well-being of its workforce. Great well-being subsidy of $1,000/year. Frequently solicits feedback to help evolve opportunities and benefits for employees.","Certain talent models receive less in the way of benefits (e.g., Project Delivery Model (PDM) only receives 2 weeks parental/maternity leave). The 401K match is dismal (unsure, but this may apply to all models). Use of PTO counts against utilization for PDM. Be sure to ask about these things if they're important to you during the interview process so you understand the full package.",Project Delivery Specialist,5,May,2022
76,"Compensation, PTO and other benefits, interesting colleagues and roles","rigid promotion structures, takes longer to reach top",Manager,5,May,2022
77,Compensation is competitive & brand recognition is strong,Work life balance is rough. Autonomy is limited.,HR- Consultant,19,May,2022
78,"huge on diversity and inclusion, great benefits, and loved my team",no remote work when you work on One Team,Senior Event Coordinator,3,May,2022
79,Good company! Above average benefits! 401k! PTO!,Learning curve for College Graduates,Analyst,3,May,2022
80,Good company! Above average benefits! 401k! PTO!,Learning curve for College Graduates,Analyst,3,May,2022
81,Great people and mentors in the firm.,Pay is below industry average,Tax Manager,3,May,2022
82,"Lots of learning opportunities 
Unique benefits",Long hours and high expectations,Analyst,3,May,2022
83,All good no cons with,No cons with deloitte consulting,Analyst,4,May,2022
84,You get to WFH and have very smart coworkers.,"-Long hours
-Low pay in GPS with the same hours as commercial",Consultant,18,May,2022
85,"career support
team culture is excellent
managers are nice and supportive","working hours, tha't all the acocunting firms situations so I can't complain as I chose this career",Anonymous Employee,3,May,2022
86,hybrid work; travel opportunities every few weeks,difficult to get early promotion,Business Analyst,3,May,2022
87,"Execellent co-worker, good pay and opportunity to be part of world class project.","No cons, if you are hardworking and smart , you will survive.",Senior Consultant,2,May,2022
88,"Deloitte does the following things well: Paternity benefits, exposure to new experiences, learning opportunities, and personal development","Deloitte does the following things poorly: Busy season can lead to high levels of burnout, retirement benefits are poor, compensation is less than in equivalent industry positions.",Audit Manager,3,May,2022
89,Large consulting and strong market presence,Very political and preferential treatment,Partner,16,May,2022
90,great place to work at,too many hours at times,Global Mobility Manager,1,May,2022
91,Good place for an inexperienced worker to learn a skilled profession.,Uniform salary. Not a meritocracy.,Senior Tax Consultant,1,May,2022
92,"- great global brand
- training opportunities
- horrible expectations of working hours (zero work-life balance)","- politics
- performance snapshots isn’t transparent and people vote based on if they like you
- no transparency in promotion decisions",Manager,13,May,2022
93,Flexible schedule; lots of time off,Very demanding; after hours work,Data Protection Officer,16,May,2022
94,"Positive energy, tools for success, available extra learning and resources, good vacation time, options","Some 50+ hour weeks, demanding timelines",GPS Analyst,1,May,2022
95,"Corporate Amex, free meals during busy season, work with peers","Deloitte is your quintessential churn and burn conglomerate. I stayed with the company for about 5 years and essentially lived at the office the entire time. Upper management claims they care about the well-being of their employees, but at the end of the day, it's all about billables and client service hours. Recognition is far and few - high performers are usually rewarded with...more work. Low pay, especially when factoring in the amount of hours worked.",Tax Consultant,1,Jun,2022
96,Good work life balance outside busy season,Pay not uptp the hours we put in,Audit Senior,29,Apr,2022
97,"in conclusion, is a great place to work.",Plenty of work to be done when it time to get busy,Senior IT Auditor,29,Apr,2022
98,The benefits are great and they have events for employees,Work life balance can be hard since the hours go past the 9-5,Senior Analyst,29,Apr,2022
99,The company as a whole is extremely supportive of the individual. It seems like the opportunities are endless working within this firm. The hours within my practice are also extremely manageable and offer great work life balance.,Crunching spreadsheet after spreadsheet can get very groundhog day-ey. You really pick your poison with Deloitte when it comes to finding a passion and having great work / life balance.,Audit Analytics Senior,28,Apr,2022
100,Phenomenal culture of support and development,"Firm is slow to adjust the the overall compensation market, but improving",Consulting Analyst,27,Apr,2022
101,Great opportunity to learn and grow as a professional in many different fields. Very social company with great people willing to support.,Social hierarchies are a real thing and will have to navigate. Compensation should be way better in order to close the pay gap. Can get stuck on a project for a long time,Senior Consultant,28,Apr,2022
102,"Great benefits, career progression, and other opportunities","Not many cons, can be long hours occasionally",Consultant,27,Apr,2022
103,Great people in the firm.,Work load can be hard to manage,Data Analyst,27,Apr,2022
104,Good salary. Good benefits. Ability to work remotely.,Terrible management. Unresponsive leadership. Incredibly unprofessional atmosphere.,Solutions Specialist,12,May,2022
105,Great place to start your career and great experience to put on your resume. you will have no trouble finding a second job after 3-4 years in the company,"Work life balance does not exist during busy season
Depending on your luck, you could be on busy seasons all year long
Performance review varies team by team, it's BS
Low salary compare to industry",Audit Senior,27,Apr,2022
106,"Not a bad name, you will meet talented people, get to see how big companies works","There are bad rats, depending on your luck and assignment",UX-UI Designer,25,Apr,2022
107,"Reputable company.
Good onboarding and training.","Hard to get on a consistent engagement (project).
Hard to navigate into projects of your choice.",Risk and Financial Advisory Analyst,26,Apr,2022
108,I enjoy the people I work with,Can get stuck on a project,Solution Senior Consultant,26,Apr,2022
109,I grew a lot at DELOITTE and had interesting client work.,Politics navigating growth and promotion in the firm.,Consultant,26,Apr,2022
110,good firm to work in,competitive firm to work in,Analyst,26,Apr,2022
111,"Good people, good networking, good opportunities within the firm","Hours, cog in the machine",Audit Assistant,26,Apr,2022
112,"Great diverse experience, hard working atmosphere, fast paced.",The consultant system is good for short term. The 45-50 hours a week doesn’t seem sustainable long run.,"Consultant, Systems Engineer",26,Apr,2022
113,"+ For being a huge company, Deloitte has made swift adjustments to ensure our compensation is aligned with the market and constantly requests feedback on decisions made
+ Continuous effort to make year end performance reviews transparent","- Within the Consulting world, internal firm initiatives are still an input into your year end performance (although there are rumors of this changing)",Senior Consultant,24,Apr,2022
114,Great salary and benefits. Team and leadership are professional and client oriented.,Expect to put in long hours on certain projects.,Manager,25,Apr,2022
115,Work life balance is great,Some of the work is hard to transfer to outside jobs,TC1,25,Apr,2022
116,Best part is a Good work/life balance,Lack of proper personal support in for dept,IT Asset Manager,24,Apr,2022
117,"For the average college graduate, it's not a bad first job. The pay is better than a lot of small companies at career fairs, somewhere around 60k for the past couple of years. USDC teammates are mostly friendly and down to earth. A lot of H1B & contract workers - the USDC is basically the intermediary between offshore employees and ""core"" D. The consulting structure affords you the opportunity to move between projects, which keeps the burn-out at bay without the stress of finding new employment.","Because the USDC is Deloitte's ""on-shore offshoring"", you are a second class citizen to ""core"" Deloitte. Benefits are not as strong, for example: pay is roughly 25% lower on average; core employees receive 16 weeks of baby leave, while USDC new hires receive 2 weeks; there is no pension program; I believe PTO is accrued slightly slower; you do not attend Deloitte's ""university"". Core employees are generally unaware of these differences. In some cases, core employees will treat USDC as ""the help.""",Solution Analyst,10,Apr,2022
118,Good team members & always help new hire people.,"Nothing to say, so far so good.",SQL Developer,20,Apr,2022
119,"Amazing resources, training, company wellness / travel perks, smart people",Long hours that are normalized,Digital Strategist,23,Apr,2022
120,"Good exit ops, cheap healthcare","Poor lifestyle, uninterested management, long hours",Tax Consultant,26,May,2022
121,Work and employment subsidies and benefits,Consistency among projects and management,Consultant,22,Apr,2022
122,Permanent remote work. Large customer base opportunity to work with diverse clients and excellent benefits.,As part of the Enabling areas - internal client support we are the step children with ring around the collar compared to the consultants. Our pay is much lower with fewer opportunities for promotion. To advance to Senior Manager another SM has to leave the firm then a hunger games competition for the slot ensues. There is plenty of favoritism with those that do little but tout their fake accomplishments getting the plaudits. Easy to burn out with the workload and thought the PTO is very generous you never really disconnect and you can only carry over a number of unused PTO days.,Senior Contracts Manager,30,Apr,2022
123,"Good compensation
Can learn if you are willing to spend more time than average","Toxic work culture
Cut throat behaviour
Technical expertise isnt respected",Project Manager,25,May,2022
124,"Great benefits and diversified, smart people to work with",Work life balance is not great. Very tight deadlines to meet,Senior Consultant,21,Apr,2022
125,"Good salary, benefits and people",Can’t think anything bad about this company,Immigration Specialist,21,Apr,2022
126,Lots of opportunities to find your passion and explore the latest technology in the market,High tempo work culture and might be hard to balance with a family,Consultant,21,Apr,2022
127,Strong culture and client centric view,War for talent creating challenges,Client Relationship Executive,22,Apr,2022
128,"Excellent team from support staff to your project team
Structured reviews that allow for good feedback and your input in review process
Hands on experience and direct work with clients that offers foundational experience for any future work","Long hours away from home
In many cases projects are sink or swim, that is your are problem solving at a rate just slightly faster than the clients you are supporting.",Manager,22,Apr,2022
129,"Remote work
Flexible hours
Considerate management
Good pay",Late nights./60+ hour weeks are not the expectation but do happen,Business Analyst,22,Apr,2022
130,"Remote work
Flexible hours
Considerate management
Good pay",Late nights./60+ hour weeks are not the expectation but do happen,Business Analyst,22,Apr,2022
131,"Good benefits
Nice people
Cares about employees
Trainings available year round","Terrible work life balance during busy season
Some softwares are hard to use
Certain processes in place decrease efficiency
No option to rotate around different service lines in Tax",Senior Tax Consultant,22,Apr,2022
132,"Benefits and work-life balance, time off",pay could have been more competitive,Tax Manager,22,Apr,2022
133,work life balance is good most times,"Not much growth in the ESC.
Managers can micromanage",Executive Coordinator,22,Apr,2022
134,Good experience working with Deloitte,Only 4 weeks bench time,Senior Consultant,20,Apr,2022
135,"Stay up to date on all guidance and fore front of the industry.

Best benefits in the industry","The work is non stop, accumulated so much PTO but could not use it",Audit Manager,20,Apr,2022
136,Competitive salary and benefits. Work with talented people and different clients and projects.,Busy and intensive schedule. Relatively high pressure and work loading.,Senior Consultant,20,Apr,2022
137,"Great pay, Lots of opportunities, Benefits, WFH",None as of right now,Analyst,21,Apr,2022
138,Great company with great people!,No major downsides at all!,Staff Auditor,21,Apr,2022
139,"* Technology wise quite advanced
* lot of perks and benefits (for eg: Subsidies)
*Professionalism
* Focuses on respect and ethics","* Salary is too low and might not consider previous experience for salary negotiations
* Might not encourage you to pursue a professional degree in the beginning even if you want to",Tax Consultant,21,Apr,2022
140,Great benefits and personnel development.,Uneven distribution of hours among staff.,Audit Senior,20,Apr,2022
141,They have a cool logo,They make good cool-aid to drink,Senior Auditor,20,Apr,2022
142,Cool culture for new professionals,Experience varies on project to project,Solutions Analyst,19,Apr,2022
143,Great Bosses. Great Culture. Great Benefits.,Long Hours. Low Pay for time spent at work.,Senior Consultant,4,May,2022
144,"Good benefits and experience, work with smart people",Hours can be crappy but overall people respect time,Audit Assistant,18,Apr,2022
145,"Fantastic talent, variety of clients and assignments, great opportunity to grow and develop",Can consume you-there is always more to do,PPMD,18,Apr,2022
146,"Good Company
room for growth
Good Benefits
Takes into account of employees",Have yet to experience any cons,Sr. Project Analyst,19,Apr,2022
147,Learnt a lot from my time here. The experience was great,the working hours are a little crazy,Audit In Charge,19,Apr,2022
148,good people and good benefits,some boring projects and poor management,Consultant,15,Apr,2022
149,Good Benefits compared to most jobs.,You will work a ton.,Senior Audit Assistant,18,Apr,2022
150,Good Benefits compared to most jobs.,You will work a ton.,Senior Audit Assistant,18,Apr,2022
151,Working at Deloitte will enable you to work with some of the world's top companies.,Below market pay for sometimes very long work hours.,Audit Senior Associate,19,Apr,2022
152,Good opportunity to grow your career,Stressful and no work life balance,Senior Consultant,19,Apr,2022
153,"Great Benefits
Standard 25 Days PTO",Below Average Pay for Marketplace,Senior Tax Consultant,19,Apr,2022
154,"Benefits/perks are good, flexible schedule, hybrid work model always for both at home and in office experience","Very political, conflicting leadership messaging, always wanting more from you to get promoted",Engagement Financial Advisor (EFA),16,Apr,2022
155,"great network, smart peers, good community overall. Good diversity programs and they actually care about inclusion",long work hours and expectations,Senior Consultant,18,Apr,2022
156,"Good pay, benefits and decent time off. The firm has ENDLESS project / career / training opportunities and a LOT of different ways to get involved in giving back through volunteerism, pro-bono consulting, etc.","Soooome legacy 'big corporate' or 'classic consulting' attitudes around. These are not the rule - most people I've encountered are good people, but there are still some folk you want to avoid. Again and I mean this - mostly good, dedicated people!",Management Consulting Senior Consultant,18,Apr,2022
157,smart people! amazing opportunities! you can find the right fit and build expertise over time. make sure you are interested in the industry you pick,"if you don't have the right team, it can be tough. people are put in leadership positions before they get any training, and inexperienced leaders are almost always micromanagers",Analyst,18,Apr,2022
158,"Overall I've had a great experience, compensated mostly fairly with tons of perks and incentives.","I think they could have been slightly more competitive with compensation, and there are times where the large organization can lose sight of people and let people fall through the cracks. It's not been my experience but I've seen coworkers go elsewhere for this reason.",Solution Analyst,14,Apr,2022
159,Great exposure to industries and work with smart people,Expected long hours so nothing new.,Senior Auditor,17,Apr,2022
160,"Great starting pay
Good relationships with coworkers of similar levels
Solid client names to have on your resume","Senior leaders are disconnected on project work 
Boundaries not always respected by teammates 
Meaningless busy work",Business Analyst,1,May,2022
161,Pretty good place to work,Pretty good place to work sometimes,Product Owner,16,Apr,2022
162,"All the responsibility you could want
You define your career
Good compensation
Ability to make high impact as soon as you start
Great professional environment and culture
Everyone you work with is really smart and you can always be learning more","I work the public sector, which tends to be less intense than the commercial side. I did one commercial project and it was pretty rough with work-life balance and management. But if you want a fast-paced environment commercial is a great place to be, just need to be able to operate at a high-stress level.

Also it's a gigantic company, which has its own advantages, but you can sometimes feel like a drop in the bucket. That said, I have made incredible friends and a close community on my projects.",Senior Consultant,13,Apr,2022
163,Having Deloitte on your resume is a big deal! It's absolutely a blessing to be able to say I work for the best company in the world. I've been here less than a year and I am interviewing for a Consulting role to grow my career here. It's truly a place that cares about the individual and personal career growth!,If you want to start in recruiting you have to start as a contractor and no benefits are given before you are full time.,Talent Acquisition Consultant,12,Apr,2022
164,"Amazing benefits, especially the paternity/maternity leave.",Severely lacking in work/life balance. Grueling work load.,Manager,12,Apr,2022
165,"- Massive organization = lots of different areas to get involved in
- Get to work with top clients / brands
- Capable and driven peers & leaders to learn from
- Hours are manageable compared to traditional management consulting
- Great benefits","- Massive organization = easy to get lost in the matrix
- Advisory notoriously underpays",Senior Consultant,12,Apr,2022
166,Great team environment. Great coworkers. Very supportive and welcoming,Sometimes difficult to stay busy and meet metrics,Lead Service Delivery Analyst,11,Apr,2022
167,"Lots of learning resources
Big network
Big name
Good benefits
Many different opportunities and positions within fields","Overworked
Can get stuck on bad project
Very restrictive in terms of your personal finances / investments
Controlling in terms of making you tell them when you're looking at other companies",Analyst,15,Apr,2022
168,"nice people, very chill culture",being cheap on compensation comparing to PwC and EY,Anonymous Employee,29,Apr,2022
169,Company gives great benefits and invest in their employees,Long hours possible when deadlines approach,Senior Consultant,13,Apr,2022
170,"Great training, clear promotion line",not paid same as industry,Analyst,13,Apr,2022
171,"- looks great on your resume
- good exposure/experience","- terrible hours
- pay could be a bit better",Tax Consultant I,13,Apr,2022
172,"Lot's of cool perks to benefit from, the opportunity to attend Deloitte University, and offices are very modern/up-to-date. Can be a really great experience if you end up on the right project/team.","Not enough representation of the black community, could do a much better job recruiting HBCU students.",Human Capital Consultant,14,Apr,2022
173,"They have great PTO, and you can swim around the company looking for your best fit project.","Being a developer here is annoying because they will often have offshore help in India, but their developers have a 12 hour time difference compared to the US. So collaborating on projects is quite annoying, and productivity suffers as a result. Their promotions only come once every 2 years, which can be a dealbreaker down the road.",Consultant,28,Apr,2022
174,You'll get to work with highly talented people,Can feel complex in navigating the firm,Project Manager,10,Apr,2022
175,Lots of projects to work on with very talented people.,none that i can think of at the moment.,Senior Consultant,13,Apr,2022
176,"You will have the opportunity to work in different industries and work with different companies. 
You can figure out what you would like to do next.","In implementation, you do more work with powerpoint than the actual systems you implement.",Consultant,27,Apr,2022
177,"From my experience, co workers are great and really helpful. The company is flat so I’ve reached out to almost every level at the firm and gotten quick responses for questions and meetings 

Great benefits - lots of PTO, different subsidies, educational opportunities, plenty of internal trainings and community groups, and 100% remote work is an option for some projects","Can be fast paced or push you out of your comfort zone. Projects may have a steep learning curve from onboarding to contribute 

Transition to product management is a bit confusing. Also the lines of work where your placed may not align with your career goals initially, but you can transfer if you pursue it.

There may be a buzz word/ start up culture; looking to implement the latest industry craze in tech without clear business cases for it.",Senior Consultant,13,Apr,2022
178,Opportunity for Networking and multiple project openings for people who love to travel,Never join the Delivery side. Low salary and not many options.,Senior Product Manager,13,Apr,2022
179,Focus on health and well-being.,Ambiguity on the promotion process.,Consultant,13,Apr,2022
180,"Lots of flexibility and great stepping stone, great benefits",Realized that consulting wasn't for me,ERS Senior Consultant,13,Apr,2022
181,great perks and great work life balance,still corporate clients and work,Senior Consultant,13,Apr,2022
182,"* you learn a lot during your time at Deloitte
* the people are great
* good jumping off point if you want to stay in public accounting or transition to industry",* long hours during filings and busy season - extended longer hours with work from home unfortunately,Audit Senior,13,Apr,2022
183,Deloitte offers a well-being subsidy which I think is good,"- No room to grow as an Audit assistant 
- During busy season my senior made sure to remind me of how important ordering lunch was for the team and i got blamed whenever lunch didnt arrive on time.",Audit Assistant,27,Apr,2022
