,pros,negs,profession,day,month,year
20,"Great people, great place to learn and get trained extensively","Pay could be better, hours are brutal",Tax Consultant II,19,May,2021
21,"Working with smart managers, having a great team. Great place to learn and great resume booster","Long hours, and underpaid. Common to have 80+ hour weeks during busy season (which lasts 4 months).",Audit Senior Associate,19,May,2021
22,"Relax Environment, Easy work life, and Networking","Hard to move laterally
Promotions.. Good luck",Software Developer,19,May,2021
23,The structure is in place to help you grow within the industry,The structure is catered towards a slow growth,Project Delivery Consultant,19,May,2021
24,"Learn a lot
Meet a ton of different people
Managers are pretty flexible","Work way too many hours
Client service isn't great",Senior Auditor,19,May,2021
25,"Good benefit, well-being subsidy, cash awards",GPS underpaid then commercial sector for doing same amount of work,Workday Analyst,19,May,2021
26,"Good Work Culture, Good Leadership","No Stock Options, Extended Work Hours",Senior Consultant,19,May,2021
27,Great benefits. Flexible in hours.,No work life balance. Every quarter is a busy season.,Tax Senior,31,May,2021
28,"Opportunity, smart colleagues, interesting work, rewarding","Low pay compared to tech companies, poor leadership in particular in the tech space",Senior Consultant,1,Jun,2021
29,Standard benefits and pay for work.,Terrible hours and compensation is lack luster,Tax Consultant,2,Jun,2021
30,Treated very well with benefits,Busy season hours are brutal,Audit Senior Associate,2,Jun,2021
31,Lots of learning opportunities and you will enhance your ability to critically think,Hard to connect to a mission with consulting- your mission is pleasing the client,Business Technology Analyst,17,May,2021
32,"lot of oppurtunities to prove yourself
Great learning avenues","Nepotism for sure 
Hectic work life balance",Specialist,18,May,2021
33,"Generous compensation, great leadership, good community","Occasional long hours, evenings, and weekends on busy weeks",Business Analyst,18,May,2021
34,Work life balance at Deloitte,Routine of project and client work,Senior Consultant,18,May,2021
35,"Experience 
Name on the resume","Zero work life balance
Cut throat
No differentiation from competitors
Pay is low compared to same roles at tech companies
Partners",Senior Marketing Manager,18,Jun,2021
36,Flexible working hours and good opportunity for the ambitious,Too crowded at the top.,Chief Executive Officer,14,May,2021
37,Solid people and easy job,low pay but comes with low workoad,GPS Associate,18,May,2021
38,A great place to work,No cons to report at this time,Technology Analyst,18,May,2021
39,Listen to ideas if you have the receptive boss.,Challenge to move around. Guidelines will change in the Enabling Areas for roles.,Human Resources Manager,18,May,2021
40,a good work life balance,low pay at entry levels,Consultant,18,May,2021
41,"Talented people, Excellent learning experience","Strict Management, Lack of communication",Tax Senior Consultant,18,May,2021
42,"Lots of challenging work, generally great people, many opportunities",high expectations sometimes too much and incompatible with life situations,Operations Leader,18,May,2021
43,"Competitive salary, great benefits. Deloitte has several business resource groups, supports volunteer opportunities and champions community impacts.",Overwhelmed with demands of the business and juggling too many priorities of work. Deloitte is too conservative in hiring staff and fails to provide business units with proper resources to build the IT of the Future.,Manager Team Lead,18,May,2021
44,Open door policy to reach everyone,Work life balance is sometime difficult to maintain,Senior Consultant,18,May,2021
45,The pay is decently compensated for the work,The regular work hours are very long and tiring.,Senior Consultant,1,Jun,2021
46,"Nice benefits, competitive package, PTO, 401K","Layoff during pandemic
no work life balance
long hours",Senior Consultant,1,Jun,2021
47,Very good culture. Good starting place,can't think of any at the moment,Analyst,16,May,2021
48,"Great experience, great team, great people","Long hours, not very predictable","Senior Consultant, Engagement Financial Advisor",17,May,2021
49,Access to knowledge and tools,"Toxic culture, burocracy, invisible leadership",Senior Consultant,1,Jun,2021
50,work culture is good for the most part,pay and hours are awful,Senior Tax Accountant,16,May,2021
51,Good work life balance for employees,Some weeks can run long with many tasks,Advisory Consultant,17,May,2021
52,"Work culture, ethics, people are super nice",I think the salary less in market,Software Quality Assurance Engineer and Testers,17,May,2021
53,"great co workers, good benefits, decent perks",long hours during busy season,Auditor,17,May,2021
54,Good team to work with,it is challenging in terms of work-life balance,Business Technology Analyst,17,May,2021
55,Good Management to work with,Low Pay given to employees,Anonymous Employee,16,May,2021
56,Great culture and overall Environment,Compensation could be better aligned with expectations,Audit Assistant,16,May,2021
57,"Interesting projects, great people, flexibility in career path",Lack of transparency in performance reviews and pay,Human Capital Manager GPS,16,May,2021
58,Decent benefits w/ decent pay if you come through MBA path,Can be high burn; projects can be great in terms of interesting work but somewhat hard to find with more tied up in implement.,Senior Consultant,16,May,2021
59,"Plenty of resources if you need help, good pay, tough environment that shapes you into a great professional",high demand but this shouldn't be an issue if you are a hard worker,Talent Acquisition Recruiter,14,May,2021
60,"Plenty of resources if you need help, good pay, tough environment that shapes you into a great professional",high demand but this shouldn't be an issue if you are a hard worker,Talent Acquisition Recruiter,14,May,2021
61,"Capabilities, Depth, breadth, and people",Can occasionally be too risk averse.,Specialist Leader,15,May,2021
62,"* Diverse workforce
* Excellent training opportunities
* Comprehensive benefits","* Work-life balance is always a concern
* Career growth is highly dependent on networking","Senior Manager, Cloud Engineering",11,May,2021
63,"Really knowledgeable people, great learning experience and benefits",Long hours; various requirements outside of client work,IT Audit Manager,14,May,2021
64,"Great pay, great benefits. 1/3 of the people are some of the best you will ever work with and that is rare. Lots of promotion opportunities as there is not a fixed number of positions (obviously until you get to partner). Make sure you are passionate about the work you are doing here or you will get worn out. You will get a ton of opportunities to learn about technology and industries.","2/3 of the people are ""super doers"" that do not have managerial skills. There are some great leaders, but most people here get promoted to the next level based on their ability to churn out quality work in tight timelines. 

A common saying is the ""nights and weekends"" type of work which means sacrificing family time for work for the firm. Consulting is not a great lifestyle to raise a family. 
 Remote has been difficult and there is a growing norm to always be on. It is common for emails at 12:30 am and all weekend long. The pay is great, but the hours you work are long and probably not very comparable to a decent-paying 9-5 if you looked at it from an hourly rate. There is also not an emphasis on developing people since there is a line out the door to work here. You have to be proactive if you want to be developed. You work yourself into sales roles, so if you are uncomfortable selling, you might not want to stick around long-term, or find an internal role.",Management Consultant,4,May,2021
65,"Flexibility, support during covid, additional training and education",Somewhat vague about metrics related to comp,Cyber Risk Analyst,14,May,2021
66,"great experience, great brand for your resume",You have to deal with annoying/difficult managers,Audit Senior,14,May,2021
67,"High caliber colleagues, social justice-minded leadership, strong benefits package","Pay is so-so, advance very difficult. Partnership is like an aristocracy",Senior Manager Procurement,14,May,2021
68,"benefits, flexibility, training access, good people, resources","hours, lack of purpose, leadership if you are on a small team can be brutal",Tax Consultant II,14,May,2021
69,Definitely a great learning experience and good culture.,Long hours and can get paid more elsewhere.,Audit Senior,14,May,2021
70,"competitive salaries, big 4, government consulting leader","poor work life balance, limited salary negotiation",GPS Senior Consultant,26,May,2021
71,"Good CEOs… global, national, consulting
Good L&D
Good perks","Performance Mgmt is total dumb.
Comp levels and bands are horrible
Actions don’t match words for comp and benefits
Some PMDs are just idiots and workaholics
No WLB",Senior Manager,27,May,2021
72,The firm provides a very huge platform to the individuals out there to find a job as per your requirements and is very flexible in recruiting process. Provides great support to the employees and employee benefit programs are the best out there!,Doesn’t have a good management and didn’t like office politics. Doesn’t have much flexibility after entering in a team and no career growth on the basis of work it’s all about good relationship with management.,Tax Consultant I,28,May,2021
73,"learning opportunities, work with talented people","work politics, limited upward advancement",Management Consulting Senior Consultant,28,May,2021
74,"Project flexibility. Good people to work with, if you choose wisely",Compensation is very low for home grown,Consultant,28,May,2021
75,Company is well respected and admired,"Hours are ridiculously long, no balance",Sconsuktant,11,May,2021
76,"Good people, interesting work, good pay","COVID and working remotely has been a huge drag, way more hours and far fewer benefits. It's also much tougher to connect with those you work with.",Senior Consultant,13,May,2021
77,"Great name recognition and skill training,",Long hours and challenging work.,Advisory Consultant,13,May,2021
78,Employee health and welfare. Salary. Working conditions. Benefits,Very flat org sometimes makes decision making glacial,Senior Advisor,13,May,2021
79,"Benefits, PTO , great people and networking",Work life balance and pay,Audit Assistant,13,May,2021
80,None that I can think of after working for 8 years,"Horrible people in leadership position
Favoritism & sycophancy for promotions
Inconsistent performance evaluations
Poor pay",Senior Consultant,14,Jun,2021
81,The Company provides great opportunity.,Work life balance can be hard.,Audit Senior Assistant,13,May,2021
82,Good experience and great people,The work isn't great and you have to work alot,Advisory Senior Consultant,13,May,2021
83,good salary and a lot of learning,long hours depending on client.,Advisory Consultant,13,May,2021
84,"Great perks, flexibility, and people",Too many long hours and stress,Accountant,13,May,2021
85,"Good benefits, strong team, structured org","Long hours, lack of transparency w leadership",Advisory Consultant,27,May,2021
86,Deloitte actively strives to promote diversity,Very large and complex organization,Principal,12,May,2021
87,Great on the job learning experience. Fast-paced.,Tough hours and limited starting benefits,Audit Assistant,12,May,2021
88,Interesting work. Fast paced. Client facing,Teams can be challenging; clients not value oriented.,Associate Consultant,12,May,2021
89,"1) Firm has some solid policies around work life balance
2) Medical insurance and benefits are competitive
3) Great place to build your career if you know how to network
4) Compensation is descent though not great
5) Firm invests time and energy in Diversity and Inclusion","1) Fast paced growth environment. Person has to be really skilled and talented to succeed
2) Hire and fire company. You can get axed any time but this true in any Big 4 consulting firm",Manager,12,May,2021
90,"Great people
Amazing clients
Good pay for beginner",Work life balance is not great,Service Delivery Associate,12,May,2021
91,"Career development, network, client interactions,","Work life balance, corporate politics",Human Capital Consultant,12,May,2021
92,Reputation around the world is good,Low Pay in comparison to other accounting firms,Senior Audit Assistant,12,May,2021
93,"collaborative, driven, successful implementations, global teams, great training.",-no work / life balance,Consultant,12,May,2021
94,Unlimited potential for earnings and growth,"Burnout runs rampant and people only focus on building relationships up the ladder. You will not be viewed as anything other than livestock until you make manager, or you have a particularly great manager / mentor.",Senior Tax Consultant,12,May,2021
95,"Great benefits, perks such as well being subsidy","Long hours, structured promotions, structured pay",Audit Senior Assistant,25,May,2021
96,I enjoyed my time here,Was not the best experience,Audit,26,May,2021
97,Great benefits but takes 4yrs for full vestment,"Long hours
Turn and burn mentality",Engagement Financial Advisor,26,May,2021
98,Good reputation at the firm,"hard to take time off, but given a lot",Senior,10,May,2021
99,Opportunity to work with very smart people,Travel 80% of the time. Working over 45h for some projects,Manager,10,May,2021
100,"Great Experience and clients, used this as a resume booster",Hours were awful and chargeability is what matters,Senior Consultant,10,May,2021
101,Deloitte gives their employees a great work life balance. They make their employees feel appreciated. There is lots of room to grow in the company,As a solution Associate the pay is very low and they didn't take my experience into consideration it is very important to negotiate your pay.,Solution Associate,11,May,2021
102,"Professional Development, ample opportunities, highly motivated peers,","Long hours, never ceasing deadlines, tight budgets, can be narrowly career focused if you do not push for changes.",Audit Senior I,11,May,2021
103,"Flexible company, good culture (relative to public accounting)",Still long hours which is part of the job,Business Analyst,11,May,2021
104,Good learning opportunities and growth.,Sometimes required to work long hours.,Consultant,11,May,2021
105,Sky is the limit if you are willing to work hard,Highly Political Environment can become difficult for techies,Senior Manager IT,11,May,2021
106,"The big 4 name on your resume 
Has been all work from home and no pressure to go back into the office.","Busy season 
Partners bringing in business but",Audit Assistant,25,May,2021
107,Good perks; Learning opportunities; Global network,"Suboptimal Work life balance
Can stray away from objective technical skills",Manager,25,May,2021
108,"Paid Time Off 
Collaborative Culture 
Growth Opportunities / Promotions 
Parental Leave","Lack of innovation 
Hectic travel schedules",Senior Consultant,10,May,2021
109,"Challenging work with opportunity for new experiences, Learn a lot in a short amount of time, Good health insurance options and fringe benefits, Workplace flexibility",Base pay is low for the amount of work and expectations,Audit Senior,10,May,2021
110,"Challenging work with opportunity for new experiences, Learn a lot in a short amount of time, Good health insurance options and fringe benefits, Workplace flexibility",Base pay is low for the amount of work and expectations,Audit Senior,10,May,2021
111,"- extensive support system
- extensive knowledge base
- name recognition",- sales-driven when you become Senior Manager,Consulting Manager,10,May,2021
112,Great place to work and to grow,No cons I love working here,Administrative Assistant,10,May,2021
113,"Smart, ambitious colleagues that challenge you to be better everyday","Long hours, no work life balance",Consultant,5,May,2021
114,"Learning a lot, exposure, openings",Work/Life balance can be challenging,Audit Associate,10,May,2021
115,"Great and smart people to work with, coaching opportunities, learning opportunities to grow professionally in your career.
Well being subsidy, diversity and inclusion initiatives",Long hours during busy season,Senior Auditor,10,May,2021
116,"-supportive teammates
-focus on well-being (especially recently)
-if you're creative enough and know what you want, you have the ability to shape your role","-your career will stagnate over time
-pretty hierarchical",Specialist,10,May,2021
117,Great people / Flexibility is there when needed,Work/Life Balance sometimes doesnt exist,Senior Tax Consultant,24,May,2021
118,"Benefits, people, good experience for resume",Long hours and low compensation. Large company that works you to death,Senior Audit Associate,24,May,2021
119,Smart workers mixed with great opportunities.,Not great at respecting work/life balance but attempting to address.,Senior Consultant,24,May,2021
120,Decent pay & industry exposure,"No work / life balance, toxic environment",Senior Consultant,9,May,2021
121,its a dream come true to work here,work load is more but worth it,Accountant,9,May,2021
122,"- Somewhat flexible
- Great PTO
- Working with talented people
- Get to see a variety of industries","- Very boring
- Super Stressful
- Crazy long hours",Audit Associate,9,May,2021
123,"Good people, employee training and development",Lack of Work life balance,Manager,22,May,2021
124,Leadership is really good. Guides you and helps you to reach the next level in your career.,Salary. It is the biggest let down in consulting firms. Feel paid atleast 25% less than the amount of work done,Advisory Consultant,23,May,2021
125,"Great work culture
Tremendous opportunity
Good promotion chances
Salary and Bonus best in the industry",All good with Company. Project can be stressful at times. But its up to individuals to manage,Manager,8,May,2021
126,"Big learning opportunities, huge network","work life balance, pay could be better",Audit Senior,7,May,2021
127,Absolutely no benefit at all within Deloitte,"Everything including no bonus, no chance of promotion, overly scrutinized responsibilities, no training allowed",Project Deliver Manager,20,May,2021
128,Great benefits starting with first years,Hard to balance with a personal life abs still do great.,Audit Senior Manager,10,Jun,2021
129,"If you find your network within the organization, it's a great place to be",Can be challenging to find the network that does the work you want to do,Director,7,May,2021
130,Pay and the hours were reasonable.,Stressful management situations and can get high pressure at times.,Senior Consultant,21,May,2021
131,Great could have been more,not much learning opportunities in the firm,Consultant,9,Jun,2021
132,"- Benefits (Talking medical/dental/vision; Outside of base pay)
- People
- Resources/Connections","- Long hours during peak seasons OR if you get staffed onto a hellish job with a low-ball budget
- Lower pay in public accounting versus private accounting for the first 5 years or so",Audit Senior,6,May,2021
133,Great place to launch your career,"Long hours
High turnover
Long busy season",Audit Senior Manager,6,May,2021
134,"Flexible, you can own your own career","No work life balance, often forced to stay on projects to help maintain your relationships",Senior Consultant,7,May,2021
135,Very good place to work and start your career.,Work life balance and travel.,Technology Consulting Manager,7,May,2021
136,Moving up is pretty simple,Hours can be long sometimes,Tax Senior Consultant,7,May,2021
137,"learn a lot, around w/ smart people","only thing is long hours,",Tax Consultant,7,May,2021
138,"Lots of PTO, wellbeing subsidy, great culture","Poor 401k match, low comp",Consultant,7,May,2021
139,"Majoarity of the time, people are nice.",No work life balance and high pressure and stress.,Staff Accountant,21,May,2021
140,"When Deloitte speaks, people listen","Not sure how Covid will change things, but the 11:00 pm night before prep sessions - damn that gets old fast.",Specialist Master,21,May,2021
141,The people really care about you,Size of company sometimes easy to get lost,Consultant,10,Jun,2021
142,"Great, well known company with many opportunities for professional growth","Typical cons you would expect to hear about big four- work life balance, pay",Advisory Consultant,6,May,2021
143,"Flexibility, various opportunities, great starting location for career with quick upward mobility in the beginning.",Hours can be a but much depending on the project. Only way to make the highest salary within your level is to come from industry and not through rising in the company,Consultant,6,May,2021
144,Great company to work at & learn,Long hours during busy season,Audit In-charge,6,May,2021
145,Compensation was good for a job right out of college in my area. Met some great people who wanted to succeed and wanted to see me succeed.,"There's not a clear path toward changing disciplines if you want to. This is a company for people who already know what they're doing and are willing to put in 10 hour days to get it done. The company requires additional hours for parties, events, etc. There's not a clear performance track and the yearly review process is a nightmare.",Anonymous Employee,9,Jun,2021
146,easy job- don't have to do a lot,they dont care about their employees; they are on a hiring spree of incompetent people,Consultant,8,Jun,2021
147,"Good place to start, good name recognition",Hope you aren’t on a PPP project,Analyst,10,Jun,2021
148,"opportunities, fun coworkers, good for out of college","lots of work, unrewarding, low pay",Accountant,6,May,2021
149,"Good PTO and experience, prestige",Long hours and could get paid more elsewhere,Consultant,6,May,2021
150,Good benefits are very supportive of family,A lot of turnover affects continuity of initiatives,Manager,6,May,2021
151,"Great consulting frameworks
Great PowerPoint templates
Made good friends 
Loved the travel
Excellent community service focus","-Too much hierarchy for the sake of hierarchy 
-No effective onboarding program for experienced hires 
-Feedback system is broken - disagreeing or providing an alternative viewpoint is not acceptable
-Several leaders and managers unfriended me on LinkedIn when I was let go due to a pandemic that was not my fault (even though I’m in the alumni network)
-I was given 24 hours to get all my files when laid off due to Covid as if I were some kind of criminal 
-When reapplying post-Covid, I could not get an interview for my lost position even though I was not fired and promised eligibility of rehire when I was let go
-Being let go while fully staffed on a project with a highly productive team and top in performance ratings for no reason other than “Covid”
-Other people in same job who were paid less (some were even on a performance improvement plan) than I were not let go due to Covid
-When I took my female partner to the Christmas party in 2019 (and outed myself), I felt my Coach and other senior leaders at my office were less helpful in the types of projects I was considered for after that. I’ll never forget the look on the managing partner’s face when I introduced her to him.",Organization Transformation Consultant,10,May,2021
152,"Good exposure to industry via multiple clients
(limited) freedom to choose project of your interest
self driven career path","extremely low scope of salary increment even on promotions

huge discrimination within different Deloitte entities (delivery center model vs consulting vs project delivery)

benefits are a joke. medical/vision/dental - out of pocket payment/paycheck is very high.",Solution Specialist,18,May,2021
153,can be involved as much as you like or don't like based on your time availability.,"based on your level but mostly on your utilization, if your in high demand skills little time to do other career building activities.",Manager,20,May,2021
154,"love the people, great benefits",company was slow at communicating with me through the hiring process,Business Analyst,5,May,2021
155,"It is likely you will be very busy,
They provide extensive training","Can be competitive 
In order to thrive you have to take initiative",Senior Consultant,4,May,2021
156,Most of the people are good and supportive. 45~60 hours per week.,Performance evaluation processes can be better,Analyst,5,May,2021
157,growth opportunities; voice is heard; shared successes,matrix construct takes patience and adjustments,Specialist,5,May,2021
158,"Some of the people are great, you can learn a lot in a short period of time.",Over worked and underpaid. They try to get you to drink the koolaid. Easy to get pigeon holed,Tax Consultant II,18,May,2021
159,Great company to start out in.,Very large organizations can be hard to navigate.,Analyst,4,May,2021
160,"Innovation, Opportunities, Inclusion and Diversity are important.",Long hours and job stress.,Senior Manager IT,4,May,2021
161,"PTO, flexible WFH, and holidays off","nothing at all, it's a great place to be",Senior Consultant,3,May,2021
162,Good focus on employees. Very good benefits.,Internal networking and positioning for opportunities can be a challenge for experienced hires. Firm is geared toward people that have come up through the ranks.,Specialist,4,May,2021
163,Great culture in which you can make some great friends at work; great benefits; lots of flexibility and autonomy to explore your passions.,"The onus to manage work-life balance is on the employee, and some struggle with that.",Consulting Senior Manager,4,May,2021
164,"pay, benefits, bench time, company culture","big company, long response time",Data Engineer,17,May,2021
165,"Travel, Perks, Food, Industry Exposure","Culture, Demands, Lack of Diligence",Senior Consultant,18,May,2021
166,"Flexibility, remote work, big clients","Bias, review process, networking, bureaucracy",Senior Consultant,7,Jun,2021
167,"Great learning opportunity, tons of trainings available",The compensation is below industry average for some fields,Project Delivery Analyst,3,May,2021
168,"Open culture, good pay, ample learning opportunities",Too much stress on sales and travel,Delivery Lead,3,May,2021
169,good place to start a career,limited growth opportunities for some,Business Technology Analyst,3,May,2021
170,experience and culture of teams,work life balance can be rough,Consulting Analyst,3,May,2021
171,"interesting projects, innovation, leadership, technology","human capital, training, level of transparency",Adviser,3,May,2021
172,management really cares about your well being,long consulting work hours and low pay especially during pandemic year.,Tax Consultant,3,May,2021
173,Good compensation & yearly hikes,work-life balance is not good though. People end up working 16 hours a day,Anonymous Employee,3,May,2021
174,"Great workspaces, Opportunities (Depending), Networking, Travel Perks, Remote","Extremely difficult for diverse hires to navigate (Commercial Practice)
Everyone is not presented same opportunities for projects
Benefits",Consultant,17,May,2021
175,Smart people; sophisticated work; flexibility,"Long Hours, compensation not competitive in lower tier markets",Senior Manager,17,May,2021
176,Great company to work for.,No downsides for working with this employer.,Information Technology Specialist,1,May,2021
177,The people I worked with were great,Busy season hours were rough,Senior Auditor,2,May,2021
178,"If you're white, from an affluent background, and just show up to do the bare minimum - enjoy the easy and comfortable ride!","Diversity and Inclusion is a complete joke, especially in the Chicago office. Audit Partners and Senior Managers fit a very specific mold, just looking at a picture roster of all of them will clearly lay it out for you. Obvious favoritism is displayed - if you look and have a background like the affluent white leadership, enjoy the best projects and getting recognition for everything you do! Otherwise enjoy the downward spiral your life goes into while working nonstop and looking for a new job every chance you get.",Senior Associate,3,Jun,2021
179,Good Tools and brand name,Salaries are 30K too low. The have unrealistic goals for recruiters and they are all competing against each other. 4 to 5 recruiter have the same requisition.s Very cut throat and Fake. The business sabotages the interviews and treats recruiters horrible.,Recruiter Lead,5,Jun,2021
180,Good Tools and brand name,Salaries are 30K too low. The have unrealistic goals for recruiters and they are all competing against each other. 4 to 5 recruiter have the same requisition.s Very cut throat and Fake. The business sabotages the interviews and treats recruiters horrible.,Recruiter Lead,5,Jun,2021
181,"Career advancement, great people, great benefits. I loved my time at Deloitte and have a net positive relationship with the firm, but they don't pay well and it seems it really comes down to who you know in the firm vs your actual performance if you want to be paid fairly.",Pay on the Federal side could be much better. Hearing about fresh graduates coming in at $80k with $10-20k signing bonuses on the commercial side while a high-performing senior consultant on the federal side with 5 years of experience makes $85-100k with maybe a $5-10k bonus is a very bad look.,Senior Consultant,27,Apr,2021
182,"-COLLEAGUES: Many colleagues I've worked on my projects are some of the best people I have the pleasure of working with
-PROJECT VARIETY: Firm is very large and has its hands in nearly all industries around the world. If one is able to navigate the bureaucracy, the variety of projects that one can do is immense","-PROJECT STAFFING: Since the firm is very large, many of the project staffing teams are overburdened. This leads to an over-reliance on networking and informal staffing to find a project that is of interest and right for your skillset. 
-PERFORMANCE MANAGEMENT: The Performance management system factors for which one is evaluated is very opaque and is highly dependent on the partners input on whether they know and like the practitioner. To wit, I've known colleagues who appeared excellent on the evaluation factors which are visible to them but have been evaluated poorly, or even fired in a few cases, due to little partner support.
-COMPENSATION & BENEFITS: Compensation is lower than what other strategy consulting firms offer and, while Deloitte offers a 401k match, the firm only matches ~1.5% of salary of which is 100% vested at 4 years.",Senior Consultant Strategy and Operations,13,May,2021
183,"Great parental leave benefits, fast paced learning environment, exceptionally smart people","Long hours, poor retirement benefits, salaries comparative with other Big 4 but below industry",Accounting Manager,2,May,2021
184,"Good, lot to learn. Good scope to grow","Busy, always on toes. Getting updated with technologies",Software Engineer,2,May,2021
185,Work like balance is ok,Year end review feedback could be more transparent,Advisory Senior,15,May,2021
186,"Learning from smart people, flexibility to try different client projects, benefits like $500 wellbeing subsidy has been great. Travel perks were also pretty good before COVID. Once you find a good network, they can be very supportive throughout your career","Very network-based, and performance is basically evaluated on how much your manager likes you and your ability to stay staffed on client projects. Being evaluated on a scatterplot of your peers (all of which who have managers that evaluate their talent differently) is really misleading and honestly not helpful to my development.

Having long hours is standard, like most consulting firms. You have to suss out which partners / SMs tend have more intense projects and pursue staffing opportunities accordingly. Even though it has been acknowledged that people are feeling burnt out during the pandemic from constant Zoom meetings, nothing has really changed significantly to fix it.

Also, GSAP is a lot more selective than in the past, even though it's marketed heavily when recruiting candidates. I recently found out I wasn't eligible because my performance wasn't ""exceptional"", even though I feel like I went above and beyond over the past 2 years, so that's extremely demotivating. Compensation is relatively average",Consultant,20,Apr,2021
187,"- Benefits are great
- Supportive teams","- Better mentorship finding
- Individualized training, a lot of learning by doing on your own",Tax Management Consultant,1,May,2021
188,Development opportunity. Good platform. Good practice,Work life balance. Too much work,Audit Senior,1,May,2021
189,"Any of the Big 4 Accounting firms are great for one thing: experience. You learn a lot and you learn it fast. You get exposure to many different industries, you get to work with different teams and learn different management styles. It's a fast paced environment.","You don't get paid adequately for the work you do. The hours can be really long. Pressure amounts and lately busy season never seems to end. Salaries are determined at the National level, and therefore the partners in your specific office who actually know you have no say in your pay. In my experience, me and my peers all got the same raise two years, which really doesn't encourage one to work any harder than anyone else.",Senior Consultant,13,May,2021
190,just use the brand name and apply else where,"Long hours, pathetic benefits, and worst work culture",Senior Analyst,13,May,2021
191,Great people who motivate but respect work balance,Minimal decision making in initial project assignment; initial offering can make or break training / perception,Consultant,29,Apr,2021
192,lots to learn and client facing,inflexible time and busy hours,Senior Auditor,29,Apr,2021
193,"Benefits, culture, support, career opporunities",Can be slow to get things done due to the size of the organization,Lead DevOps Engineer,30,Apr,2021
194,"Talented diverse professionals, room to grow - you define your path",large can easily get lost inside you must be ok working in ambiguity,Senior Manager,30,Apr,2021
195,"- Good management team 
- Good health insurance/benefits",- Lower pay opportunity for personnel that start their careers at Deloitte,Transfer Pricing Senior Associate,30,Apr,2021
196,Smart people and a variety of work you can work out without leaving the company.,Comp isn't up to par,Manager,30,Apr,2021
197,"Deloitte provide long PTO, decent salary and other benefits.",Long hours and narrow specialization.,Tax Manager,30,Apr,2021
198,generous PTO policy. Fast promotion track at lower levels,"Experience will vary based on what project you are assigned to. As a staff, you have little say over which project you are staffed on, and long ongoing projects can limit the amount of experience you get and the number of people you have an opportunity to work with. Also, certain groups within advisory are paid more despite working on the same projects and having similar skill sets",Consultant,30,Apr,2021
199,"big4 name is helpful, promotion ladder","Terrible work/life balance, not fairly compensated",Tax Consultant,13,May,2021
200,"Free Coffee, Nice Facility, Nice IT Supports!",Senior Managements' Aloofness Is Demoralizing,Solution Analyst,14,May,2021
201,very nice culture，and nice environment,bad hours at peak season sometimes,Manager,3,Jun,2021
202,"Good company, cares about well being of employees, advancing diverse professionals, and making employees better.",Can be intense at times. Leadership sometimes can be rude or unprofessional.,Lead Compliance Analyst,3,Jun,2021
203,Less work than other big 4,"less personnel than needed, person doing work below their level",Audit Senior Manager,28,Apr,2021
204,Good company to work with,"Opportunities, work life balance, travel",Senior Consultant,28,Apr,2021
205,Lots of opportunities to learn and grow at the intersection of business and technology.,"To stay competitive, leadership needs to focus on improving compensation.",Consultant,29,Apr,2021
