,pros,negs,profession,day,month,year
10,"Deloitte is an amazing company and this position is a great way to get your foot in the door. Excellent benefits, $1K annual well being subsidy, friendly/helpful people, brand recognition, opportunities to get involved both in the ESC and out, you get to work with & meet people in other business areas, and getting to go to DU. There are also tons of events and opportunities in the office to meet people in person. Most of my PPMD clients are fantastic and I've been able to develop great relationships with them from the start. I am grateful for this job and this firm!",This job can be fully remote but we are required to go into the office twice a week or face consequences. Communication from management regarding expectations should be more consistent (it seems like each manager tells their direct reports different things and this causes confusion and frustration among ECs). Transferring to other roles doesn't seem to be supported by management and they make it unnecessarily challenging to move up from an EC position even if you are qualified and have stellar performance feedback.,Executive Coordinator,21,Aug,2022
11,"Extremely fast paced; great opportunity to work with extremely talented individuals and build cutting edge solutions that make actual impact. Never have been micromanaged, but expectations are set very high. Colleagues are more than willing to help & if you apply yourself you can achieve extreme growth and valuable skillsets. I've learned far more working here vs. my days in college.","Upward growth can be challenging; if you're not putting yourself out there and performing at the top it can be tough to be recognized. Furthermore, you need to be your biggest supporter - if you want something you need to go and get it. Networking is crucial, so if that's a weak point for you then you'll need to adapt quickly outside of your comfort zone. Work life balance can be tough at times - depending on your project - but as long as you communicate well you'll be okay. You will be graded against your peers of the same level as you and the colleagues that you will work with are very driven, knowledgeable, and competitive (at times). Do your best work and you'll be fine, but if you slack off it's very easy to notice.",Product Owner,6,Sep,2022
12,Lots of opportunities to work on the projects that most interest you Great mentoring and training,The company is so big that sometimes you feel like a cog,Senior Consultant,30,Nov,2022
13,"Stable work, good WLB, compensated well","Mundane tasks, morale of team, structure of teams",Risk and Financial Advisory Analyst,2,Dec,2022
14,"Just as it reads, Deloitte has high expectations for work ethic and output and provides good ""play"" (work life balance, rewards, decent salary, etc.)",Leaders are not consistent. Most people have very different experiences with Deloitte depending on who their lead is.,Senior Consultant,28,Nov,2022
15,A lot of resources given to interns and full times,delivery center is treated differently than core consulting,Solutions Engineer,1,Dec,2022
16,I is all about the brand value,Very toxic workplace with the worst work culture,Advisory Manager,1,Dec,2022
17,"Extremely employee focused, well-being, flexible, good pay and great benefits",Sometimes takes a long time to get staffed on projects which can be draining.,Manager,30,Nov,2022
18,"Paid decently, great coworkers, interesting work","bad projects from time to time, felt underpaid compared to industry",Strategy Analyst,1,Dec,2022
19,Well structured processes and policies Challenging work Good pay and benefits Majority of PMDs demonstrate great leaders skills,Can be hard to find proper sponsoring internally Sweet talkers and toxic leaders are yet to be identified and primed,Senior Manager,24,Nov,2022
20,Open culture and better benefits,Different talent models that gets you confusing,Project Delivery Manager,1,Dec,2022
21,Biggest reason to work here is for the job safety and benefits. Especially as a working parent,Hours can be tough a bit but people will be there to support you,Consultant,28,Nov,2022
22,They care about there employees give good maternity leave and sabbaticals and unpaid leaves if needed.,The work is quiet rigorous and even after working 80-100 hrs its never enough and there is continuous competition among peers.,Senior Associate,1,Dec,2022
23,Good launch point and get to experience a wide variety of clients,Confusing year end performance reviews,Consultant,29,Nov,2022
24,Good to start a career from,Lot of work and time consuming,Senior Auditor,1,Dec,2022
25,"Lots of deal experience, smart senior team","Heavy on hours, staffing system not perfect",Investment Banking Analyst,30,Nov,2022
26,"Fantastic exposure to client based work. You truly feel valued as a member of the team. Allowed to really flourish even as a fresh start, I was leading presentations and consistently pushed out of my comfort zone. Great benefits got an apple watch with the wellness subsidy. Some commuting benefits too for hybrid teams. Great health insurance plan wide range of coverage.","Long hours - around key deadlines the hours could stretch into the am. Clients can be rude, but the managerial team always is on your side.",Cyber Risk Analyst,8,Nov,2022
27,"You get to thrive under the Deloitte name and enjoy some of the Deloitte Consulting life, which comes with endless amount of tangible and intangible benefits. Pay is also decent for the type of role.","The engagement financial advisor practice is mundane and thankless. Even worse, you are more or less ring-fenced in it for your duration at Deloitte (very difficult / near impossible to transfer to any other practice within Deloitte).",Engagement Controller (EFA,7,Sep,2022
28,good work-life balance and salary part,the process from different parts through the mail is a bit time-consuming.,Java Solution Developer,29,Nov,2022
29,Learn new skills very quickly.,Expected to work long hours.,Audit Intern,30,Nov,2022
30,Learn new skills very quickly.,Expected to work long hours.,Audit Intern,30,Nov,2022
31,"To my understanding, this is good pay for a recent post-grad and it is at a stable company where you are unlikely to lose your job during the upcoming economic turmoil. That is certainly a pro and brings peace of mind.","First, when I signed the contract with Deloitte, back when I was still in university, I was not told that I would be aligned to working on SAP day in and day out. Unfortunately, I was told about this 3 months later when it was too late to look for another job. Many people enjoy SAP and if that is you then wonderful, I happen to despise it. So, not being told about my alignment for months causes a feeling of bait and switch, there is a good chance I would not have signed had I known that. In Hindsight it can be argued this was a mistake made by a young college kid who did not know to ask for clarity on precisely what I would be doing. Nonetheless, Deloitte did a very poor job of communicating alignment. Further, now 4 months in, I have found it rather difficult to move laterally into any other aspect of consulting. The internal structure creates a feeling of being pigeonholed into wherever you are originally slotted. What I mean by this is that I am clawing tooth and nail simply to find a point of contact to help me move out of SAP. Not to actually move, but just to find someone to talk to about moving. For a company which markets itself as caring about employees more than the average, this stonewalling and difficulty in movement has come as a shock to me.",SAP Analyst,2,Nov,2022
32,"Great people, but it can very from account to account and office to office.",Short term project can be a nightmare.,Solutions Consultant,28,Nov,2022
33,"● Managed and Maintained code repository in Git, improved practices of branching and code merge for custom needs of development team",Connect and share knowledge within a single location that is structured and easy to Prior to joining Deloitte.,AWS Cloud Engineer,21,Nov,2022
34,"I am very happy with my time here at Deloitte. I am a Consultant within the Government and Public Sector practice and have met some great people here. There are a lot of different aspects of federal support that Deloitte provides, so there is something that could appeal to everyone. Deloitte's benefits are a differentiator for me, the well-being subsidy is first rate and the PTO policy is very flexible, I have never had an issue getting time off when I want or need it - people here are very understanding of work-life balance. To that point, I think they navigated flexible work well throughout the pandemic and did a really good job making sure employees were comfortable. I still work from home (very common amongst the people I speak with regularly) and Deloitte has done a lot in making it a comfortable experience.","This is specific to the Government and Public Sector (GPS) practice, but I personally find the work to be dull. The work is very mission-driven and has real world impacts to people across the US (and world), which I really like. However, the scale of the projects sometimes feel so large that it doesn't really feel like you are making as much of an impact. This could be a feature of just working for a really large company, but if you are someone who really wants to see the tangible outcomes of your work I am not sure this is the place.",Consultant,16,Jul,2022
35,Tons of opportunity to learn,Not always easy to see the big picture when staffed on a project,Analyst,28,Nov,2022
36,Great exposure to TMT industry with amazing support from leadership to work on challenging projects,Work hours can be more based on the nature of the project and deliverables.,Senior Consultant,25,Nov,2022
37,Work life balance outside busy season,Not many cons if you are proactive with scheduling,Audit Senior,28,Nov,2022
38,Currently out of Deloitte for their Graduate School Assistance Program (Sponsored MBA) Supportive partners & senior management (though requires some searching) Great Perks Varied,"Long, sometimes unpredictable hours Varies by project - hard to plan",Senior Consultant Cloud Strategy,23,Nov,2022
39,Fantastic Benefits and Compensation. Able to move within company between projects easily.,"Uses benefits and compensation to compensate for aggrivating working conditions and project management. For example, if a project ends and you do not have a follow up project the company places a target on your back until you find another project. It is a backwards work environment where you must find and compete for work rather than the company giving you work to do.

You really need to network to find out about anything in the company even benefits owed to you. There is no real HR and your coach is usually clueless to HR matters.

Hours can vary between 40 and upwards to 60 hours depending on the project. It is incredibly unpredictable. Although most projects are flexible you are basically on call 24 hours a day (except for weekends, usually).",Advisory Consultant,26,Sep,2022
40,"* reasonable hours
* competitive pay
* remote flexible
* interesting projects
* good work life balance but can vary by client
* lots of money floating around so good resources. (2020 16 inch MacBook Pro, extremely nice office in DTLA)","* often will work for a contractor which can sometimes be a bad environment depending on the company. My contractor had multiple sexist employees and had a work environment which encouraged long hours. This was alleviated by Deloitte who placed all Deloitte contractors on the same team, which helped, but it was still a horrible client with miserable overworked employees. 

* Changing clients is often a lengthy process which involves internal interviews. 

* Way too much company training.

* Have to report on all financial assets to prevent conflict of interest.",Software Engineer,6,Sep,2022
41,Very intersting company to work for!,"Nothing to fix except, be more connected with employees & there demands as well.",Financial Analyst,24,Nov,2022
42,"Deloitte does everything, and so if you can network effectively, you're able to meet the right people and essentially gain whatever kind of experience you're seeking","Politics between partners and client accounts is definitely significant, and hinds progress at times",Consultant,17,Nov,2022
43,Good Perks for well being,highly competitive and low pays,Sr. Solutions Engineer,26,Nov,2022
44,Excellent benefits and compensation; Decent performance bonus,None; Bureaucratic if dealing with government contracts,Solutions Architect,25,Nov,2022
45,"Company culture and benefits far away better than everywhere else I have been Plenty PTO Chance to manage your own work Better pay than same position at other companies (role is controller, controllers within corporate finance at this level would make 55-65)","Tools dependent so if they arent working it can be tough to do many tasks Depends on team you get placed in, everyone has different group of managers and clients so its hard to say",Engagement Financial Advisor (EFA),3,Nov,2022
46,"Great benefits (401k match 0.25 for every dollar up to 6%, Health insurance, life insurance of your annual salary for free and you can add more if you want, 1k well-being bonus).",You hop from project to project in your early career. No stability to growth within the same project (unless you have already had a lot of experience. Not competitive enough pay. Lots of mandatory financial interest representation.,,22,Oct,2022
47,"Stability Agile working The people Benefits (purchasable days of holiday, BUPA healthcare)",Work/life balance. Technically speaking it's a 35hr week and you get plenty of days of holiday but in busy season you'll be doing unpaid OT until 9pm. Progression for those in roles without a ACCA/ACA/CIMA and transparency about pay bands.,Data Analyst,10,Nov,2022
48,"Flexible with remote work, a super reputable firm and brand, a large network, large clients, great coworkers.","As a first year analyst, it's difficult to get staffed or direction on your work. Most of what I do is with people from other offices so there's not a lot of group work or the group work is difficult to collaborate on.",,26,Oct,2022
49,"Interesting clients, interesting work, growth mentality","Mix of people, some arrogant and some difficult, but some helpful. Uneven branding. Short-term project nature leads to churn and adds challenges to relationship development.",Senior Manager,18,Nov,2022
50,"Excellent benefits, outstanding culture, commitment to DEI, surrounded by extremely talented people, best in class learning experiences offered at Deloitte University.","Intense environment; stressful at times and long hours. Not an easy place to survive if you don’t thrive under pressure and put in long work weeks. Whether you are client service facing or operations, expect on average 45-50 hours a week and interrupted time off.",Senior Manager,20,Oct,2022
51,"Good focus on consultant wellbeing, Good company culture, Efforts in ensuring good work life balance.","Different benefits for USDC and CORE. Not as easy to grow laterally, they try to make you stay in one portfolio and offer ""opportunities"" to grow outside but not difficult to transfer.",Solution Specialist,14,Nov,2022
52,A great starting point for a career,No cons at the moment,Tax Consultant I,25,Nov,2022
53,"Work life balance (I am only speaking on my personal experience) has been amazing. Deloitte really values allowing employees to work remote and participate in in-person events when they want to. 

The benefits at Deloitte are great for the most part. Benefits for new parents are incredible as well as a well-being subsidy which is $1k a year (taxable) anything wellness related

So many incredible resources","The 401k match isn't the best but it isn't horrible either 
Such a big place that you really have to try hard to remain on people's radar for promotion, etc. 
Sometimes a lack of direction on engagements (but this is entirely dependent on who you work with)",Consultant,8,Sep,2022
54,Wellness subsidy Firm holiday Incentives for TS clearances,"Feels like a target is on your back if you’re on the bench, but they want you to find a project that aligns to your goals and sometimes those aren’t available.",GPS Consultant,16,Nov,2022
55,"Benefits, training, coaching, professional development, networking growing",Requires you to network to get on a project once you get hired,Risk and Advisory Analyst,22,Nov,2022
56,"Salary, benefits, WFH, fully remote, well-being subsidy",Working on an operations team at Deloitte will take away any and all social life,Solution Delivery Analyst,16,Nov,2022
57,Good for Senior Tax Consultant,long hour is probably the only con,Senior Tax Consultant,23,Nov,2022
58,Good pay Flexible work environment (hybrid/WFH) Healthy corporate culture,Long and inconsistent work hours at times,Analyst,23,Nov,2022
59,Opportunity to work with the brightest people and solve complex client challenges.,Can get hectic at times with very minimal work life balance,Senior Manager,19,Nov,2022
60,Opportunity to work with the brightest people and solve complex client challenges.,Can get hectic at times with very minimal work life balance,Senior Manager,19,Nov,2022
61,Great people to work with Great Benefits,Long work hours Typical Corporate Culture,Data Management Analyst,21,Nov,2022
62,Deloitte's reputation. Upper management was initially supportive. Opportunities for training and doing interesting projects.,"No awareness or support for Neurodiversity. Lack of diversity in employee populations. My boss and team changed the output of my research to keep upper management feeling that Deloitte was on top of the competition and to cover the shoddy work they had done in previous years. There was strong retaliation against my speaking up, and I had to spend months fighting fake low-performance accusations by my manager and working 12-14h/days for months until I was exhausted and needed intensive therapy.","Manager, Strategy",4,Nov,2022
63,Lots of opportunities to try new types of work in different industries,Leadership and low compensation for the hours,Consultant,20,Nov,2022
64,Energetic environment High tech Good benefits,Long hours On you to raise flags if your schedule is impossible,Tax Senior,21,Nov,2022
65,work life balance is amazing! beenfits and pay make it even better!,The process of finding another project is not ideal.,Consultant,16,Nov,2022
66,"For the average college graduate, it's not a bad first job. The pay is better than a lot of small companies at career fairs, somewhere around 60k for the past couple of years. USDC teammates are mostly friendly and down to earth. A lot of H1B & contract workers - the USDC is basically the intermediary between offshore employees and ""core"" D. The consulting structure affords you the opportunity to move between projects, which keeps the burn-out at bay without the stress of finding new employment.","Because the USDC is Deloitte's ""on-shore offshoring"", you are a second class citizen to ""core"" Deloitte. Benefits are not as strong, for example: pay is roughly 25% lower on average; core employees receive 16 weeks of baby leave, while USDC new hires receive 2 weeks; there is no pension program; I believe PTO is accrued slightly slower; you do not attend Deloitte's ""university"". Core employees are generally unaware of these differences. In some cases, core employees will treat USDC as ""the help.""",Solution Analyst,10,Apr,2022
67,1000 well being subsidy which you can use most in everything.,"Too long hours, competitive environment.",Tax Consultant I,20,Nov,2022
68,-Benefits -Project Variety -Smart and awesome Colleagues -Travel every now and then dependent on project,-Long hours at times -Work Life Balance can sometimes become a hurdle -Needy and Pushy Clients at times -45+ hours of work is required,Cyber Risk Analyst,9,Nov,2022
69,Great Internship and people. You get a lot of responsibility,"No cons at all, I enjoyed my experience here",Summer Intern,18,Nov,2022
70,Structured firm and good training in place. There are a lot of smart people you can connect with. Inclusive culture. People are the reason why Deloitte is a decent company.,"It is a big firm - your experience will largely depends on the project you get on. Your career also solely depends on how proactive you are in terms of looking for the type if work you want to do and your efforts on connecting with leadership. Since it's a structure firm, there is a sense of hierarchy that causes office politics. It is exhausting that if you want to get promoted you have to a lot outside of project work.",Consultant,7,Sep,2022
71,"Opportunities to grow and develop as a project manager. Course availability. Supervisors, managers, and Managing directors that want to see people progress in their careers.","I understand Deloitte does a lot of auditing and has to maintain a higher ethical standard. I feel like they get intrusive in the personal finances of employees and dependents. As a non-auditing project delivery employee, it made little sense to me.",Project Delivery Specialist II,26,Oct,2022
72,Good company with good brand name in the market,Large firm so some projects are great and some aren't as good.,GPS Consultant,16,Nov,2022
73,People Culture Variety Opportunity Innovative,Workload Salary Political Sales pressure / targets Competitive,Director Risk Advisory,16,Nov,2022
74,"Ample PTO with decent rollover capability
Corporate Amex Usage
Maternity leave is 24-26 weeks (!!) 
Second phone
The first time you go to DU
Variety of projects and clients 
Social events","Attracts the competitive type, lack of transparency in year end reviews, endless comparison to peers. 401k match is 1.5%. To succeed (I.e., raises and promotion) its more what you do to help PPMDs than clients. 

I can’t recommend Deloitte to any level higher than a senior consultant. The politics coming in as an experienced hire any higher will make it difficult to immerse and succeed. 

I left for a competitor and the easiest way I describe the difference is that at my current employer I am recognized for the work I do; while at Deloitte I was constantly reminded of how much more work I could be doing.",Senior Consultant,4,Aug,2022
75,Good company culture and people relationship.,Working hours varies a lot,Consultant,19,Nov,2022
76,Not bad depending on project,It can get bad depending on project,Consultant,20,Nov,2022
77,I have not started working yet however everyone I have met so far has been extremely kind and helpful!,Can’t speak to this yet,Strategy Analyst,15,Nov,2022
78,The firm provides really good benefits,is is an okay form,Analyst,17,Nov,2022
79,"Good work/life balance, remote work options, competent coworkers","Benefits could be better, expected to do free work on top of client responsibilities, salary could be better",Consultant,14,Nov,2022
80,Incredible growth opportunities within the consulting space for young people. Tons of great resources and intelligent driven workforce.,Pockets of toxic leaders that the overarching organization refuses to check or correct due to profitability of these leaders. This leads to an inconsistent employee experience across the organization where some leaders are absolutely stellar and others quickly burn out and abuse employees.,Manager,19,Nov,2022
81,Good place to work for anyone,Benefits are not the best,Project Manager,18,Nov,2022
82,Great place to work. Highly recommend,None that I can think of,Senior Consultant,18,Nov,2022
83,"At Deloitte, you will have the opportunity to see whatever you like. All you need to do is ask. If you have a strong mental tenacity, you will fit in well here.","This is a great place to start, but the work life balance is truly lacking and it is evident in the culture. Expectations are that you must be able to work overtime at the drop of a hat.",Senior Audit Associate,23,Oct,2022
84,lots of training complex projects,high stress working environment team politics,Audit Associate,17,Nov,2022
85,They care about your well being.,Could have better performance process.,Audit Senior,16,Nov,2022
86,good professional company to work to start your career,did not find any cons at this company,Software Developer,15,Nov,2022
87,Offers sabbatical after 2 years of being a high performer,Pressure to not report hours worked over 45 hr/week,Consultant,10,Nov,2022
88,The people are great here,"The culture, work life balance",Audit Senior,15,Nov,2022
89,Hard working professionals and smart individuals,Impersonal remote environment with no room for mentorship,Senior Consultant,15,Nov,2022
90,Hard working professionals and smart individuals,Impersonal remote environment with no room for mentorship,Senior Consultant,15,Nov,2022
91,There isn't much good going on here.,Coworkers and management pretend to act nice but they always throw you under the bus. Lack of professionalism. Managers were very disrespectful to me and colleagues. (especially in public settings),Solution Analyst,30,Nov,2022
92,learning opportunities for both soft and hard skills leadership opportunities,"long hours the expectation of ""performing at the next level"" for promotion sometimes feel like performance punishment",Advisory Consultant,9,Nov,2022
93,"work life balance, learning environment","pressure, pay is low but work is heavy",Associate,14,Nov,2022
94,"Great pay, benefits, and culture","Hours, work life balanced, boring content, inability to move across the company ( government to commercial )",Advertising,8,Nov,2022
95,"-Flexible work environment -Plenty of learning resources -Promoters of diversity, equality, and inclusion -Good entry level to company",-May need to adjust working hours for clients based on time zone,Executive Coordinator,29,Oct,2022
96,"Good salary, opportunities to grow.",All depends on your network,Consultant,14,Nov,2022
97,Most colleagues are highly skilled and a joy to work with. The pay/promotion cycle is transparent. There are so many things you can try your hand at.,Obsession with utilization percentage means that any professed lip service they give to work-life balance isn't genuine. Some of the PPMDs are really out of touch and treat people below them poorly. The culture can feel a bit cult-ey at times - is anyone actually that excited to come to work?,Advisory Consultant,6,Nov,2022
98,"WFH, Well-being subsidy, Culture, Projects",Doesn't have a huge pool of opportunities for every career field like the advertise,Solutions Specialist,8,Nov,2022
99,Good benefits and work life balance,I don't find any cons here.,Data Analytics Manager,11,Nov,2022
100,Good progress in general speaking,Easy to get lost in company,Manager,14,Nov,2022
101,"Lots of opportunities. Great networking/connection. Professional and personal growth. Pressure managing skill, etc.",Heavy workload. Long hours. Short of guidance.,Audit & Assurance Senior Associate,8,Nov,2022
102,Great Experience for future opportunities,Long hours during busy season,Audit Senior Assistant,10,Nov,2022
103,Flexible work environment and largely driven by the engagement,Expected to work on extra stuff out side of your assigned engagement,Solution Delivery Manager,8,Nov,2022
104,"The benefits are spectacular. Based on your project team, team dynamic and leadership, you can find yourself in a great position to succeed. You can also find your niche based on your interests and skillsets which make launching your career here spectacular.",It is a grind. You have to carve your career and create those meaningful connections that will set you up for success. You also need to be assertive in vouching for your salary and performance; it has to be earned and performance is critical to changing minds.,Strategy Consultant,5,Oct,2022
105,High profile clients across many industries,"The most arrogant culture I've ever encountered. If you don't do things the ""Deloitte way"" then they'll think you're stupid and won't staff you on projects regardless of your experience. Of course, the people who expect the ""Deloitte way"" have never known other more effective ways of working because the culture expects you to conform to their way of thinking. Many of my ex-colleagues agree after they've left Deloitte and experienced other companies.",Senior Manager,16,Nov,2022
106,"Lots of perks, value well being and a myriad of educational opportunities",Ver few cons. Standard corporate expectations as everywhere else,IT Governance Lead,7,Nov,2022
107,"- Choose your Engagement (who you work with, what you do)
- Type A Personalities thrive (people who are self-driven)
- People generally seem to care about each other (but only if you stay in front of them)
- Decent Perks/Subsidies/Benefits (Work Phone, $500 Tech bonus, $1000 Well-being, $1000 commuting balance)","- If you're not Type A expect to fall through the cracks/fall behind
- Networking/Socializing is sort of a must, you have to talk/communicate a lot
- Some office politics
- You need to really be self-driven to succeed",Risk and Financial Advisory Analyst,20,Sep,2022
108,Good overall benefits and wellbeing package.,"Feels like your work is not being appreciated, no work life balance, the culture is bad.",Solution Specialist,25,Nov,2022
109,Great place to work and benefits,Work life balance is poor,Solution Analyst,10,Nov,2022
110,Amazing company to work with,there is none that i could think of,Anonymous Employee,11,Nov,2022
111,- Exposure to lots of different and fascinating work being done across the firm. - Countless supportive and friendly folks to work with - Fast career and personal development,"- Can be difficult to get into the group that you want - Red tape is extensive - Decisions are made by partners relating to almost all things including staffing, promotins, grad school etc.",Consultant,19,Oct,2022
112,good work culture and snacks,long hours poor management poor planning,Digital Marketing,13,Nov,2022
113,Deloitte is truly a great place to work. The care about their employees and will work to create the most productive and pleasant working experience for employees and contractors alike. Highly recommended.,Takes a while to get completely on- board because there are many processes to learn.,Information Technology,28,Oct,2022
114,-College Hire -Good benefits and salary,-Not really -No relocation help,Business Technology Analyst,10,Nov,2022
115,Good benefits and time off,No real cons working with Deloitte,SOC Analyst,11,Nov,2022
116,Great benefits and career advancement opportunities,The team you're on will completely steer your experience and where you can go next within the company.,Audit Senior Associate,3,Nov,2022
117,Good company to work for,It was difficult interview process,Salesforce Administrator,11,Nov,2022
118,"Great leaders, great clients, great projects",Experience is very project and team dependent,Senior Consultant,11,Nov,2022
119,"Great culture, interesting clients, good team, perks","Long hours, lack of resources",Senior Tax Consultant,11,Nov,2022
