,pros,negs,profession,day,month,year
26,Working for a well know firm,"If you weren't hired straight out of school, good luck getting on the fast track. With over 13 years of experience and an expert in my field, I have kids right out of college that tell me what to do, and it is encouraged by leadership. It is very exhausting. 
In addition, when they have to staff quickly, they definitely don't choose the dest of the best. Very disappointing.",Project Manager,12,Apr,2021
27,The name & the experience,"Overworked
Underpaid
Cliquey office
If you want to do corps, don't work in the SF office. They only have partnership returns",Senior Tax Consultant,13,Apr,2021
28,Long lasting travel perks and benefits,No lateral mobility or ability to dictate path,Analyst,14,Apr,2021
29,A great company that values employees and helping them succeed. Learned a lot.,The travel was tough and can be long hours....but that comes with the territory.,Senior Consultant,29,Mar,2021
30,Like their people focus and mentorship programs,May get into situations where it may require coast to coast travel which disturbs the lifestyle by quite a bit,Manager,30,Mar,2021
31,"Great benefits, other than 401k, and amazing work-life balance with plenty of flexibility during non-busy season months.","Minimal pay out of college for having a masters degree, and long hours for about 3 months out of the year.",Senior Audit Assistant,30,Mar,2021
32,"Nice, friendly people. I enjoyed it",Sometimes disorganized so be careful,Business Analyst,30,Mar,2021
33,People you work with are great and very knowledgeable. Benefits are very good. Different scenery constantly.,Depending on the project life/work balance can be difficult,Business Analyst,30,Mar,2021
34,Very organized HR and other internal processes. Plenty of opportunities to learn and grow. Executive leadership is top notch. Middle management is more variable with some individuals who do not reflect well on the brand. I didn't appreciate Deloitte as much as I should have when I was there.,"""Firm Contributions"", a requirement to stay employed and/or progress, take up a lot of evening and weekend time. It kills the joy out of serving the client, in my opinion. If you don't have good immediate leadership, you can get lost in the shuffle. Consultants come and go.",Senior Consultant,25,Mar,2021
35,"great clients, flexible work hours, lucrative perks","mouse in a wheel
management sees you as expendable
insincere reviews",Business Analyst,14,Apr,2021
36,great exposure and culture; nice staff,many traveling; relatively low compensation,Associate,29,Mar,2021
37,"Salary
Compensation
Benefits 
Variety of projects
Culture and people","Long hours
Project culture mag vary from the firm",Project Manager,29,Mar,2021
38,Enjoyed working with my colleagues. Great teams,Long hours and commute to client locations made for very long days,Auditor,30,Mar,2021
39,"Remote work, great benefits, PTO","Long hours, ""always available"" mentality",Audit Senior,30,Mar,2021
40,"Remote work, great benefits, PTO","Long hours, ""always available"" mentality",Audit Senior,30,Mar,2021
41,"Good culture and people, great place to learn",Very much one person in a large organization,Consultant,30,Mar,2021
42,Will open a lot of doors and exit opportunities.,Tax accounting is very dull.,Tax Senior Associate,12,Apr,2021
43,"Great learning resources, intelligent team members",not much opportunity to do actual data analytics unless you look long and hard,Analytics Consultant,13,Apr,2021
44,Good benefits. Flexible work from home policy,Can be long hours at times,"Senior Consultant, Engagement Financial Advisor",13,Apr,2021
45,"Amazing benefits, brilliant people, challenging work","Hours, getting stuck on bad projects",Senior Consultant,29,Mar,2021
46,"Excellent, dedicated, hard-working colleagues and plenty of networking opportunities.",High work load and potential burn out,Consultant,29,Mar,2021
47,"Leading consulting firm, good culture, competitive pay","Long hours, demanding travel, many processes due to size",Consulting Senior Manager,29,Mar,2021
48,good company for accounting students to start their career,bad work life balance to deal with.,Tax Consultant,24,Mar,2021
49,"Resource pool, people network, never stop","sweatshop, not much work-life balance",Senior Manager,28,Mar,2021
50,"People, culture, work are great",Work / life balance can be tough to balance,Senior Consultant,29,Mar,2021
51,"Big 4 is as advertised, fast moving, great learning opportunities.","However as advertised, the hours, expectations, and constant deadlines make this a challenging place to stay for an extended period of time.",Audit Senior,29,Mar,2021
52,Fun people to work with,lots of hours and not a lot of choice for clients,Senior Associate,29,Mar,2021
53,The people are amazing and driven.,A lot of things come down to company politics.,Analyst,29,Mar,2021
54,professional organisation and career growth,work-life balance as professional practices makes you work long hours,Audit Senior,29,Mar,2021
55,"Learn a lot, friendly people","Long hours, intense working environment",Audit Assistant,29,Mar,2021
56,"Great Pay, Flexible Work Arrangements, Work-Life Balance, Professional Development",They will cut you quickly if you are below utilization standards and aren't many other opportunities beyond what they originally hired you for. It's hard to find a role if they don't already have one for you when you are hired.,Specialist Senior Consultant,29,Mar,2021
57,Family maternity leave and people,Work life balance and pay and bonuses,Manager,29,Mar,2021
58,A lot of online learning opportunities. Great to have it on your resume.,"Pay, too many politics to promote, too many meetings, cater to PPMDs when all employees should be valued, talk about equality but actions speak louder than words, say they want to process improve but don't actually spend the time or money to focus on those internally.",Accountant,10,Apr,2021
59,Great team environment to work in,Low Pay and long hours,Audit Senior,12,Apr,2021
60,Great team environment to work in,Low Pay and long hours,Audit Senior,12,Apr,2021
61,Good exit opportunities for those with 3+ years of experience.,No support for any kind of work-life balance.,Senior Consultant,12,Apr,2021
62,"Learning opportunities, and career growth.",The amount of work vs compensation.,Audit Senior,28,Mar,2021
63,Good people. Good leadership. High performing teams.,Long hours and lack of compensation transparency,Actuarial Manager,28,Mar,2021
64,"room to explore, good culture",expectations outside client work (firm contributions) can be annoying,Consultant,28,Mar,2021
65,Good company would recommend to a friend,Not many but I wish travel was around,Cyber Security Consultant,28,Mar,2021
66,Networking is a huge pro. Great career development opportunites,The extra Long Hours can be tough.,Senior Manager Human Resources Ops,28,Mar,2021
67,Some of the people you work with,"Below average pay, no recognition below management level, poor management structure, high stress/meager payoff, incentives are undermined by the company's practices that minimize employee value as much as possible to limit compensation",Cyber Risk Analyst,29,Apr,2021
68,Brand looks good on resume,The Telugu community has screwed up the work place with their dirty practices and groupism politics. Spouses of almost all these Indian employees end up as Testers or junior developers with fake resumes. USDC Lake Mary sucks because of this specific group.,Senior Software Engineer,26,Apr,2021
69,Focusing on DEI as of late,Embracing DEI at the Partner level and applying it to data to day project decisions is still a distant away,Specialist Leader,27,Mar,2021
70,The best part is the flexibility.,I think the performance management process could be improved.,"Senior Manager, Deployment Leader",27,Mar,2021
71,"Work life balance, inclusion, Salary","No cons so far, good company to work with",Senior Consultant,27,Mar,2021
72,"Flexible, opportunities for growth to","No personal life, busy season",Tax Consultant II,10,Apr,2021
73,"- Work-life balance
- Great mentorship
- Very social and outgoing atmosphere
- Well known name","- Pay is not as high as competition
- Will not work with you to keep you, they semi expect you to leave after a few years
- Negotiation is almost non-existent
-",Analyst,24,Mar,2021
74,Room to make your own career,Large organization culture makes forming deeper relationships difficult,Lead Analyst,25,Mar,2021
75,"Flexibility, opportunities for growth and development, generous benefits","Demanding schedules, lack of transparency on compensation",Senior Manager,25,Mar,2021
76,Great company to work for,Hours can be long at times.,Staff Accountant,25,Mar,2021
77,Fantastic work life balance and some of the nicest people to work with.,I cannot think of any. I have had such a great experience,Analyst,26,Mar,2021
78,Great location and work area,Poor management during my time there,Business Deveolpment Representative,26,Mar,2021
79,Great company to work for,Too much work load No personal life,Consultant,26,Mar,2021
80,Diverse work environment very inclusive.,High stress and sometimes long hours.,Anonymous Employee,26,Mar,2021
81,"A lot of L&D resources, the ability to manage your career, flexible scheduling.","Lack of consistency between departments, outside hires (with the same or less experience), are offered higher wages than internally promoted practitioners and transfers.",Business Solutions Analyst,26,Mar,2021
82,Training; the people; network; ability to learn,"""well being"" depends on project",Senior Consultant,26,Mar,2021
83,Good work life balance and work ethics,management could be little better,Senior Java/J2EE Developer,26,Mar,2021
84,Most of my colleagues were great. Benefits are decent.,Covid made the work hours ridiculous. Senior managers always have unrealistic timeline goals since they’re not the doers. Other typical consultant stuff.,Cyber Risk Senior Consultant,26,Mar,2021
85,Still a Private firm. Majority of people are great to work with.,Lower pay than their competitors,Senior Manager,8,Apr,2021
86,"Can be good experience
Lots of room to improve their process if you already have good experience","No work-life balance
The employees don't matter
The promises they make customers, do",Project Delivery Manager,9,Apr,2021
87,"travel perks like food and nice hotels, well-being subsidy",low pay compared to peers in other industries,Advisory Consultant,9,Apr,2021
88,"learning opportunity, smart coworkers, fun projects","long hours, lots of travel",IT Advisory Manager,24,Mar,2021
89,"Benefits, co-workers, inclusivity, friendly environment, welcomed","No raises, work-life balance, poor management",Executive Coordinator,24,Mar,2021
90,"Benefits, co-workers, inclusivity, friendly environment, welcomed","No raises, work-life balance, poor management",Executive Coordinator,24,Mar,2021
91,Love working for this company. Collaborative and brilliant minds.,You need to be VERY good at work-life balance.,Consultant,25,Mar,2021
92,"Tons of growth opportunities available.
People/Teams that truly cares about your wellbeing.
Great benefits comparing to other Big 4s.",Relatively fixed process for getting promotions.,Risk Advisory Analyst,25,Mar,2021
93,Great colleagues to work with,The cons were minimal for me,Business Analyst,25,Mar,2021
94,Job security. Networking is good,"Toooo much work
Pays less
No Bonus
No pay for extra hours
No transparency in year end meeting either for promotion or salary increment.",Solution Analyst,9,Apr,2021
95,They pay attention to the well being of their employees ive seen them within this pandemic make things very easy and always listen,"its not as diverse as one would think it is, but they are working on it",Audit Assistant,25,Mar,2021
96,Great people that want to see you grow,Poor compensation for the extra work you put in for other departments,Audit Senior Assistant,25,Mar,2021
97,Flexible working enviroment during off busy season,Long working hour during busy season,Anonymous Employee,25,Mar,2021
98,Many opportunities to be exposed to a wide variety of clients,Hard to have work life balance,Audit Senior,25,Mar,2021
99,good team support provided . continuous learning,late hours working. no family time,Java Developr,8,Apr,2021
100,Great breadth of projects in cross sector industry,"No work-life balance - if you give them extra time they will ask for more. 
Not a place to build good relationships",Consultant,22,Mar,2021
101,Deloitte cares about their employees well-being and career advancement,Pay increases are minimal in non promotion years,Anonymous Employee,23,Mar,2021
102,"Like it a lot, good money",Moving contracts but building networks,Consultant,23,Mar,2021
103,"I started with Deloitte in the U.S. straight out of University. It's challenging work, you can build close relationships with colleagues, great potential for travel, and work for a respected name in the industry. They value your career growth and will invest in your learning.",Many late nights and sometimes expectations to be the last in the office. This should be an expectation in client work and you're compensated for the time.,Technology Consultant,24,Mar,2021
104,"Great leadership, employee focused, community focused",Larger corporate environment compared to small digital agencies I worked at before,Business Intelligence Consultant,24,Mar,2021
105,"Diverse Opportunities, Work with different people and clients","Working hours, expectations outside of your day job",Senior Manager,24,Mar,2021
106,People are the strongest part of the company.,Little direction when starting out.,Analyst,24,Mar,2021
107,"Great culture, Flexibility, Can move around","Long hours, not all managers are made equally",Consultant,24,Mar,2021
108,Great company to work for,Work life balance is poor,Software Engineer,24,Mar,2021
109,"Great diversity, lots of training offered. Ability to move to different sectors",Culture has changed. More and more consultants putting their own best interests ahead of the clients in order to move up and get promoted. Unclear if how long this business model is sustainable for such a large company.,Manager,8,Apr,2021
110,"Highly talented staff, family environment (within Services), solid work from home, great perks ($500 fitness subsidy, work phone w/ peripherals, auto discounts), focus on work/life balance, ""recovery"" days granted after stressful deals with long hours.","Poor annual raises (2-4%) and low bonuses (~$3k) (for Services), limited growth opportunity within Services, unpredictable hours, culture of hard work and excellence often goes unrewarded, currently focusing more on expanding staff than rewarding existing staff.",Pursuit Manager,16,Mar,2021
111,"- Training programs are amazing. They will not throw you into the deep end ever.
- Mentors are great!
- Something new with ever project.","- COVID has lessened travel.
-Things will start to get repetitive after a while.",Consulting,23,Mar,2021
112,Great benefits and decent pay,Long work hours and rigid structure,DC Analyst,23,Mar,2021
113,"Great pay, good management and a lot of learning opportunities","bad hours, high expectations and limited work life balance",Senior Consultant,24,Mar,2021
114,"Moving between different projects - you learn so much about different industries and service lines, and you are able to work with different teams and companies. I feel that I learned more from my time at Deloitte than my time in business school and it very much prepared me for my career moving forward.",The lifestyle is very draining - from the travel to meeting client demands. This often meant very long hours and not the best work life balance.,Manager,24,Mar,2021
115,"Large firm, somewhat have the ability to create your own path, interesting projects if you're good","Bad pay, just another number, etc.",Consultant,24,Mar,2021
116,Very Good Benefits available in company,"No Work life balance 
Appraisal",Senior Database Administrator,7,Apr,2021
117,"technical exposure, open to opportunities","salary, work life, Personal Time Off",Consultant,7,Apr,2021
118,"Never ending resources to get oneself updated regularly 
Expedited learning and execution
Holistic professional development of an individual 
Dynamic environment to showcase ones potential 
Never ending opportunities to prove oneself","If an individual knows how to manage oneself then I don’t think anyone will report a CON 
I personally didn’t want to focus on CONS during my tenure. I thoroughly enjoyed working for this organisation",Senior Management Consultant,22,Mar,2021
119,Great colleagues to work with and build friendships,the performance management system and process,Managing Director,23,Mar,2021
120,Great colleagues to work with and build friendships,the performance management system and process,Managing Director,23,Mar,2021
121,"PTO, Breadth of projects, people.",Easy to get lost when you start,Cyber Security Consultant,23,Mar,2021
122,"Interesting projects
Pool of talent
Development opportunities",Not a lot of cons,Senior Solutions Architect,23,Mar,2021
123,The people that work within GPS are fantastic!,Covid-19 has restricted a lot of benfits.,Consultant,23,Mar,2021
124,The starting salary is good,I am not sure what,Tax Assistant,23,Mar,2021
125,Good to have on resume,"Long hours, extremely political, afraid to take PTO",Senior Consultant,6,Apr,2021
126,"Meet good people, a few interesting opportunities","Pay is really low, most work is boring and sloppily done",Consultant,6,Apr,2021
127,"Great people, very interesting work, quick turnover between projects if you want to take advantage of variability in your career, opportunities to explore new areas of expertise/learn constantly.",Consulting compensation is severely below market rate - not a profitable career unless you are a Partner/Principal/MD. Best to leave for a higher salary elsewhere and then come back in a few years to match your salary and bounce back to market rates.,Business Analyst,15,Mar,2021
128,Opportunities for growth coupled with global projects,Salary and bonuses are not great. Definitely lower than competitive firms,Manager,22,Mar,2021
129,"- extensive inventory of projects to choose from
- ability to work in multiple industries","- very demanding, limited Work lifebalance",Consulting Manager,23,Mar,2021
130,"Smart people
Great clients
Large scale and diverse projects
Plenty of opportunities","Lot of burn
No work life balance",Consulting Senior Manager,23,Mar,2021
131,good options for growth if you're beginning your career,"no work life balance, overworked and underpaid",Senior Consultant,5,Apr,2021
132,Decent compensation for a big grind,Big Grind to rise the ranks,Manager,6,Apr,2021
133,"Learn a lot quickly, upward mobility",Long hours 4 months out of the year,Audit Senior Assistant,6,Apr,2021
134,"Good networking opportunities, support for MBA education, and great for people who like to travel. Work is often interesting and diverse. Emphasis on career development by most mentors.","Longer hours than industry, billable hours tracked and up to the individual to chase down client work. Not good for people that can't be flexible in extra hours and cutting into family time.",Senior Consultant,19,Mar,2021
135,"- great benefits
- 3 month paternity leave
- WFH","- Some co-workers arent the greatest to work for
- Partners could be very selfish and cold hearted",Senior Tax Accountant,22,Mar,2021
136,Experience gained on various projects,Hours can be long at various times,Manager,22,Mar,2021
137,Great stability and great coworkers,Busy season is very busy,Audit Assistant,22,Mar,2021
138,the pay was really good,i didnt like my job at deloitte,Consultant,26,Apr,2021
139,Good people to work with,"Shady conversations at leadership level. No raises, claimed lower revenue levels this year when we've obviously had more work than ever before, gave random ""monetary stipends"" that were taxed to make up for giving people little to no raise and screwing over those who were promoted.",Business Technology Analyst,5,Apr,2021
140,Good people to work with,"Shady conversations at leadership level. No raises, claimed lower revenue levels this year when we've obviously had more work than ever before, gave random ""monetary stipends"" that were taxed to make up for giving people little to no raise and screwing over those who were promoted.",Business Technology Analyst,5,Apr,2021
141,a lot of great stuff,a little of bad stuff,Consultant,21,Mar,2021
142,Deloitte internal ITS prioritizes constant process improvement.,Deloitte internal ITS - permission to replace employees lost to attrition is slower than desired.,Anonymous Employee,21,Mar,2021
143,Lovely place to begin a career,Slow pay increase early on,Senior Consultant,20,Mar,2021
144,"Well organized and run, predictable.",Salary increases well below level of inflation,Human Resources Director,21,Mar,2021
145,Career growth can be good,Pay scale is mediocre and can be competitive,Senior Solution Specialist,4,Apr,2021
146,Your value is recognized; Good opportunity to see different things,Bad work and life balance,Audit Senior,20,Mar,2021
147,Nothing I can think off.,"Excessive travel.
Less Salary 
No job security in consulting",Project Analyst,23,Apr,2021
148,Continued education and learning opportunities,Travel may not be suitable for all,Consultant,16,Mar,2021
149,Great company to work for. Good work-life balance.,Opportunity for advancement for Admin Support limited.,Senior Administrative Assistant,19,Mar,2021
150,The company provides great benefits,Expectations can result in long work hours,Creative Services Manager,20,Mar,2021
151,"Great Resources, Strong Structure for Support","Inconsistent Experiences, Tough Work life balance",Consultant,20,Mar,2021
152,Great company and lots of growth opportunities,Corporate bureaucracy and turnovers. Work on employee retentions.,Consultant,20,Mar,2021
153,"Good learning, opportunity with lot of travel","Politics, poor performance review process",Senior SAP Consultant,2,Apr,2021
154,Structured teams and smaller teams,High turnover - focus on hiring instead of keeping their current employees,Financial Advisor,3,Apr,2021
155,"Good benefits and perks for employees, specifically on travel",Staffing challenges - employees are expected to find their next project,Senior Consultant,3,Apr,2021
156,Lots of good smart people,Each senior person must bring in business -- no room for technical leadership,Senior Manager,3,Apr,2021
157,Good colleagues. Great place to start a career in accounting.,Very busy at all times during the year.,Audit Manager,19,Mar,2021
158,"Flexible working schedule, location, great client experience",Working 50-70 hours a week,Senior Consultant,19,Mar,2021
159,"Though everything is currently virtual, the job keeps you busy and lets you network across a variety of businesses in the firm. Great culture, great people, awesome place to work!","None so far, thing will change when offices open back up.",Executive Coordinator,19,Mar,2021
160,"Ambitious, driven people 
Solve challenging business problems
Growth and learning opportunities","Work-Life balance is non existent
Cult-like culture 
Over promising and always having goals that are impossible to achieve",Consultant,2,Apr,2021
161,Good benefits and resources for employees,Not a great culture for investment banking,Managing Director,3,Apr,2021
162,will have a chance to work on emerging technologies,no work life balance and need to know the right people to grow up,Senior Solution Specialist,15,Mar,2021
163,Hours non-busy season aren't bad,Busy season can be tough as a staff,Tax Consultant II,18,Mar,2021
164,Excellent network to leverage and move on,"You may find yourself on the bench, looking for a job after getting a job.",Senior Consultant,18,Mar,2021
165,"Recognize contributions, good benefits, many opportunities",Compliance takes a bit of time,Senior Solution Specialist,18,Mar,2021
166,"Great learning experience, great place to start a career in public accounting",Long hours and requires lots of commitment,Audit Assistant,18,Mar,2021
167,"Competitive pay, exit opportunities, interesting work","Long hours, advancement is all about your network",Technology Consultant,19,Mar,2021
168,"Good Environment, Flexibility, Good salary, potential",Many hours of hard work,Business Analyst,19,Mar,2021
169,hard work but good pay,it was dificult to meet management's expectations,Business Technology Analyst,19,Mar,2021
170,Great place to start after college. You’ll learn a lot of new technology and business aspects.,"Employees are overworked. 1 am at night, over the weekend, you name it.",Solutions Analyst,19,Mar,2021
171,You learn alot from working on many projects,you work alot from working on may projects,Solution Architect,19,Mar,2021
172,It has a nice reputation,You work a lor of hours,Consultant,2,Apr,2021
173,PTO Policy is very generous,They care very little for burnout. Opportunities are limited.,Senior Auditor,2,Apr,2021
174,"Good brand name, decent perks for consulting, lots of PTO offered","Terrible 401K match (25% of the first 6% of salary AND it takes 3 years to fully vest), firm initiatives are forced on you for free work, you cannot take all of your PTO",Analyst,2,Apr,2021
175,Super good gig but top down culture,Lots of people doing the same thing and hard to differentiate,Writer,16,Mar,2021
176,Great Company to work for,None to date that i can think of,Consultant,18,Mar,2021
177,Training is great. Gets you prepared for the work that needs to be accomplished,Plan to work - a lot. It is a very hectic schedule.,Audit Senior Associate,18,Mar,2021
178,"Great culture, talented people and a variety of interesting projects",401k benefits are so terrible,Consultant,18,Mar,2021
179,Pay is decent and your peers are intelligent,Stress is dependent on the project you are assigned.,Solution Specialist,17,Mar,2021
180,Pay is decent and your peers are intelligent,Stress is dependent on the project you are assigned.,Solution Specialist,17,Mar,2021
181,lots of flexibility and different opportunities,work life balance sometimes isnt the best and pay is not very competitive,Consultant,17,Mar,2021
182,"lots of opportunities, need to take initiative to stand out",large company. Many more obligations on top of client work,Analyst,18,Mar,2021
183,"Met a lot of smart and diligent people, get exposure to various projects",Don't come if you value WLB. Not ideal for specialists who want to grind and craft,User Experience Designer,18,Mar,2021
184,Good experience/development and great resume builder,"Long hours, unfulfilling work, no creativity",Audit Senior,18,Mar,2021
185,"Generous PTO, Competitive Salary with other big 4, quick promotions",Peak season requires over 55 hours per week,Audit Senior,18,Mar,2021
186,Experience and good exit opportunities (apparently),"Even during non busy season, 9+ hour days are the norm",Audit Intern,1,Apr,2021
187,"People, experience, opportunities and reputable","Travel, too large of a corporation",Consultant,1,Apr,2021
188,Very professional place to work,No cons that I can think of,Risk & Financial Advisory Analyst,17,Mar,2021
189,Good culture and company benefits for employees.,"Long hours, but good career prospects if that’s a fit for your lifestyle.",Audit Assistant,17,Mar,2021
190,"Work with multiple teams across different industries! Get the opportunity to advice CEOs and CMOs of large corporations. Once you find your people, you're going to be taken cared off!",You have to fight to do what you're interested in. Company doesn't care about your career goals. Some of the leadership is terrible and they straight up bully you into working on their projects. You have to really fight your way to get the experiences you want.,Consultant,12,Mar,2021
191,"LOTS of resources (training, mentorship, varied experience), can’t beat a big brand name to launch you forward, if you find the right team you can really thrive","They’ll take as much as you give them - work you to death, long hours, not always a meritocracy- everything is like a popularity contest, very weak at experienced hire valuing, training, and retention, your promotion and performance is decided by a panel of people who know nothing about you based on a few sentences summarizing your work",Business Analyst,12,Mar,2021
192,Big company. Great to add on resume.,No training. They just throw you straight to the client. They work you like a robot.,Senior Consultant,1,Apr,2021
193,"great mentorship, but a little all over the place. It was a pleasant experience for a number of years and I truly built my life around my work, even it involved traveling, client ""soothing"", relationship building, and systems analysis. Truly worth it in the end. I would go back.","The compensation, like a lot of consulting businesses, they are not really product centric, even if they have products, they mainly rely on billing principal accounts and maintain a good overview of the mood of the relationship.

There could be some improvement as well in client soft training, I had peers who did not adhere to some social queues, maybe because they thought they were a little untouchable. That is not a companywide problem, however, in the accounting integration system it was a little bit.",Systems Analyst,16,Mar,2021
194,Good working environment and new technologies to work on,NA NA NA NA NA,PL/SQL Developer,16,Mar,2021
195,"Nice environment
Good communication with employees","Not much really, nothing is there to say about the cons",Senior Linux Systems Administrator,17,Mar,2021
196,"Good work culture, good team","Hours can be long, performance metrics are not the best",Consultant,17,Mar,2021
197,"Exit opportunities, clients, technology, PTO","Hours, especially during busy season.",Audit Senior I,17,Mar,2021
198,"Deloitte's consulting division is filled with really smart, driven individuals, and there are numerous opportunities to learn and grow.",Work life balance can be difficult.,Manager,17,Mar,2021
199,Pros: Awesome people genuinely interested in your life,Cons: Might have to put long hours,Consultant,17,Mar,2021
200,"Working with clients is wonderful, I enjoy the learning experiences",Salary could be increased considering the amount of experience analysts have,Business Analyst,16,Mar,2021
201,"Flexibility, opportunities, growth, teamwork, structure",starting salary not great but workable.,International Tax Senior,16,Mar,2021
202,Great exposure to diverse projects.,"Stressful hours, experience varies from project to project.",Analyst,16,Mar,2021
203,Teaches you how to multitask and gives you great exposure to many companies.,It’s the definition of sink or swim; people are only looking out for themselves and you’ll get little to no mentorship.,Audit Senior,31,Mar,2021
204,Opportunities and the people you work with.,"Hours, work-life balance and pay",Workday Manager,15,Mar,2021
205,"Free dinners when you work late
Millennial friendly
Great attitudes when working long hours
Great training 
Socially aware
Great technology
Innovative
Great offers afterwards",Investment banking hours without the pay,Audit Assistant,16,Mar,2021
206,Make a lot of money,Have no life or fun,Business Technology Analyst,16,Mar,2021
207,great people very professional good work culture,ok benefits long work hours,Supervisor,16,Mar,2021
208,Friendly environment with lots of opportunities,Long hours and low bonuses,Tax Consultant,16,Mar,2021
209,They take your professional growth very seriously!,Organizational re-org which might be confusing for career path.,Management Consultant Associate,16,Mar,2021
210,They take your professional growth very seriously!,Organizational re-org which might be confusing for career path.,Management Consultant Associate,16,Mar,2021
211,- standard progression for promotion (year breakdown),"- minimal salary increase with promotion with covid
- little out of ordinary mobility",Senior Tax Consultant,16,Mar,2021
212,consulting is good to start with,bad work life balance in deloitte,Business Analyst,29,Mar,2021
213,Team mates are helpful and collaborative,"Private Company: No RSUs, No ESPP, Management Structure does not align nor support growth: Coach ≠ Manager; Prioritizes business relationships over market capabilities",Manager,30,Mar,2021
214,Great company for techies enthusiasts.,Work life balance is a thing which is not promoted.,Project Delivery Manager,30,Mar,2021
215,"Name recognition, lots of resources","very competitive within your team, not a lot of collaboration",Digital Forensics Consultant,30,Mar,2021
216,"-Many different projects available, so it's easy to work in different environments and departments.
-Many learning opportunities and courses available",- High amounts of stress and poor work-life balance,Consultant,30,Mar,2021
217,Benefits are the best there,Salary is low I transitioned to grant Thornton and making 40k more exact same job,Senior Associate,30,Mar,2021
218,Solid relationships and day to day communication.,No growth and little to no promotions to go around.,A&A Associate,30,Mar,2021
219,Interesting projects and great clients to work with,Poor work/life balance/ toxic work culture,Senior Consultant,30,Mar,2021
220,"- Good community of analysts
- Strong network",- Very large; easy to lose control of career if you don't keep that in mind,Business Analyst,15,Mar,2021
221,it is a good company to work for,may be more than expected travel,Analytics Manager,15,Mar,2021
222,good benefits and resume builder,not paid enough for long hours,Consultant,30,Mar,2021
223,Excellent training and experience with the smartest people in the industry.,"Extremely long hours (at least 75hr/week during busy season) with very little benefits during busy season,",Audit Assistant,15,Mar,2021
224,"Fun to work here, inclusive, fun events, everyone is very professional",Not the highest pay. Pretty disappointed in my salary,Solution Analyst,15,Mar,2021
