,pros,negs,profession,day,month,year
14,"knowledgeable experts, challenging work, great team, excellent place to start a career in accounting, structured organizational ladder","long hours, busy season is year-round, can feel impersonal working in a big office with thousands of people, further up the ranks it gets harder to carve out time to learn because there is so much work to do",Tax Manager,30,Jul,2021
15,"Decent work, always being challenged.","Bad company overall, management could use some work.",Advertising,17,Aug,2021
16,"Good learning opportunities, lots of chances to work","Long working hours, 
culture of work-life balance doesn't really exist",Senior,13,Jul,2021
17,Pay is good compared to others,Too many hrs expected to work,Manager,14,Jul,2021
18,Talking every day to people of all seniorities.,Working long hours quite often,Business Analyst,15,Jul,2021
19,I love working with extremely intelligent people; the culture is fabulous and allows for me to be myself; I have had many opportunities to navigate my career while staying with the same firm long-term.,"All green grass has brown spots, but I would not have stayed for so long if there were any real cons.",Senior Manager,15,Jul,2021
20,"--Diverse career opportunities
--Strong leadership who cares about employees
--Superior benefits",--Work life balance can be challenging,Manager,15,Jul,2021
21,Great great great great great,Hour HourHourHour Hour Hour Hour,Associate,11,Jul,2021
22,Great resume builder and you will learn a lot here.,Depends on what team and client you get put on. This will heavily impact your experience.,Audit Senior,15,Jul,2021
23,Deloitte has been a great place to work especially due to the culture and people,Work life balance hasnt been great,Consultant,15,Jul,2021
24,Get exposure to many different industries and clients; great benefits; investment in soft skill development was very high and valuable,The work life balance could be better; compensation seemed light considering hours worked and similar roles at other financial service companies and industry.,Audit Manager General,28,Jul,2021
25,"Great resume booster, teaches you good work ethic. Can be flexible at times. Learned the true nature of working in accounting.",Every year worked at Deloitte is like 2 years of aging. You can really watch your life disappear at a place like this. Staff underpaid but for many of the people working here its a solid and reliable career path toward a steady 6 figures.,Audit Associate,29,Jul,2021
26,"- Variety of project experiences; given that I was on an Advisory team within Tax, I had more leeway in what project work I could take on
- Good camaraderie with peers
- Lots of resources available to you (being that it is a big firm)","- Not enough pay for the work done and time spent on the work
- Massive cultural issues that need to be rectified
- Lots of turnover, especially this year due to the pandemic and not much (or any) empathy from leadership
- Tendency to burn people out",Senior Tax Consultant,29,Jul,2021
27,Opportunity to learn and grow quickly while gaining valuable experience,"Work life balance, nightly meetings, same base company raise for everybody no matter their performance. Bonuses aren’t garaunteed",Consultant,29,Jul,2021
28,Deloitte has great values and opportunities to pursue,Starting pay not as good,Senior Coordinator,14,Jul,2021
29,Good people and nice benefits,Financial compensation could be better and sometimes work hours can become a lot,Consultant,14,Jul,2021
30,"Plenty of employer resources: company credit card, food at the office, travel
Fast-paced environment
Interesting people on staff
No day is the same","Hard to get on a team, if you haven't ""grown up at the firm""
Lack of mentorship for non-entry level staff",Specialist Master,14,Jul,2021
31,great culture and the smartest people,consulting work environment can be challenging - it's a lifestyle,Senior Manager,14,Jul,2021
32,"Nice work environment, multiple projects to get put on and you can learn a lot from the experience",Too many projects and you don't know if you're getting extended or not,Solution Specialist,14,Jul,2021
33,Salary is very good and Great training programs.,Promotion rate is not good,Senior Cloud Engineer,14,Jul,2021
34,Has great benefits and flexibility.,"Lacks leadership, penalizes you promotions and bonuses if you take any type of LOA including military and family. Average to below average pay for GPS Advisory (government).",Advisory Senior Consultant,28,Jul,2021
35,have a chance to encounter all kinds of challenges from different clients from all over the industries,have to lead a 80% work time life,Manager,11,Jul,2021
36,Incredible company with an awesome work culture,"Because Deloitte is so big, there is a disconnect between HR decisions (promotion and compensation) and your day-to-day work.",Senior Consultant,13,Jul,2021
37,Best consulting experience and work ethic,Work life balance is not par,Project Manager,13,Jul,2021
38,Mentoring from leaders and mid-level managers as well as collaborative environment,Bureaucratic processes and Covid has made it harder to feel a sense of community until people return to in-person interaction,Senior Consultant,13,Jul,2021
39,"great place to start career, great management and benefits",Comp could be a bit more competitive,Senior Tax Consultant,13,Jul,2021
40,Excellent benefits and if you're staffed fully you can do well,Sales are more impressive than utilization and it can take a while to show that.,Senior Consultant,13,Jul,2021
41,Great place to work at,Not applicable for this place.,Business Analyst,13,Jul,2021
42,"Good PTO, Training, perks and benefits",Busy work schedule + project not aligned with interest,Analyst,13,Jul,2021
43,"Good pay, good benefits. Good chance to network and be exposed to different types of businesses.","Expect to not have a life, have bad bosses that can't instruct or mentor, lots of negativity, sometimes managers try to create situations where you have no chance to be successful, no one cares to find out your strengths to put you in the right projects or tasks in the projects. This is the real face of corporate America. This is basically snake oil work where you need to delete your soul and kiss butt in order to thrive. Deloitte is not to blame here necessary. All companies of this type are going to be the same since it is the same people circulating through all the companies. If you don't, talk, walk, and act the ""Deloitte"" way (or ""X"" company way for that matter), and if the managers can't relate to you or see themselves in you, there is no way you will move forward.",Senior Consultant,19,Jul,2021
44,Can work remote if acceptable by client. Good tools and technologies. Good branding and well known in the industries and clients.,Long working hours. Stressful work environment. Leadership is not supportive. No transparency in performance evaluation and compensation calculation. High politics.,Senior Consultant,28,Jul,2021
45,Get to work on interesting projects and pay is great.,"1.5% 401k match, your benefits depend on what model you are in (traditional vs. Project delivery) for example project delivery employees do not get as much time off, as high of bonuses, or as great of parental leave as traditional employees.",Senior Consultant,27,Jul,2021
46,"Lots of opportunities from the get-go, even when fresh out of undergrad
chance to build network
various engagements to work on
decent training","culture can be a little bit cut-throat; it really depends on the team and the office
Deloitte is BIG and can intimidating for some",Analyst,27,Jul,2021
47,Lots of benefits for all employees. Regular town halls with lots of information. People in HR are very helpful and willing to work with you.,The hours are long with little to almost no training. You are expected to be pass your certifications almost immediately to help keep a strong brand image.,Solution Analyst,11,Aug,2021
48,"They hire great people to work with. People are willing to help and it's easy to build friendships. The work is exciting and challenging, and they provide so much in the way of developing your career. Loads of freebies and cultural events. It's a great work environment for a people person.",The salaries are on the lower end. Cash bonuses are dependent on individual performance and are small ($250 -500) and given by managers to their teams. End-of-the-year bonuses can range from a $250+ AMEX card to a smart speaker - you never know what you'll get.,Solution Specialist,12,Jul,2021
49,Best company to work for,Alot of travel depending on your clients,Senior Auditor,12,Jul,2021
50,"Its a massive consulting firm that does just about everything. Compared to the other big four consulting firms, Deloitte does a phenomenal job of ensuring that their employees are utilized at all times. Staffing for projects is streamlined and project availability is very visible. With this in mind, you can do just about anything you want to at this firm. It is a network heavy firm so it is important to grow your relationships while you are employed.","With such a big firm, career development and mentorship can sometimes get lost. Leadership folks who are in positions to coach/mentor people usually do so only because they have to and it feels very forced.",Senior Analyst,12,Jul,2021
51,"Great benefits, learn a lot, challenging, great people",busy seasons can be long,Accountant,12,Jul,2021
52,Good career opportunities to be provided,Long hours and poor work life balance,Tax Manager,12,Jul,2021
53,People are nice. Salary seemed nice at the time.,No balance between work and life. Expected to be available at all hours and every weekend.,Consultant,26,Jul,2021
54,"Exposure to many Fortune 500 Companies
Strong talent amongst colleagues
Great benefits / perks","As a consultant, could be difficult to connect to the broader company - sometime you are operating on an island.",Senior Consultant,12,Jul,2021
55,"Ability to learn new things on the project, access to get certified in other technologies.","Work life balance, Long work hours, improper management; lack to proper resources lead to over burn",Solution Manager,12,Jul,2021
56,"Learn a lot, flexible work options","Work a lot, sometimes a high pressure environment",Certified Public Accountant (CPA),12,Jul,2021
57,"There is great exposure to technology, but this often comes by being thrown into the deep end",Terrible work life balance. There is an unwritten expectation of working 50 hrs as a base to hit your utilization goals and complete firm work.,Senior Solution Specialist,11,Aug,2021
58,"Benefits, but really its hard to tell what else is good there when im so underpaid.",underpaid and undervalued. work crazy hours. management strings you along for one year on getting pay equity,Pursuit Manager,9,Jul,2021
59,Management is very flexible with work hours,The 401k plan could use more contributions from the firm,Senior Project Manager,11,Jul,2021
60,"Good PTO, healthcare and coworkers",Project schedule are weird - sometime you cannot align on what you want to do,Analyst,11,Jul,2021
61,"-well-established firm
-huge professional network
-looks great on a resume
-overall compensation is pretty good if you negotiate hard enough","-they have not done a good job of pivoting to virtual onboarding; a lot falls through the cracks. Little to no orientation, and lack of support.
-big firm--they don't care too much about individual growth or interests if it doesn't fit the mold they've created for you. 
-management says, ""you're lucky to have gotten a job here"" as a means to justify asking you to work on projects that don't align with your professional skillset or overall professional goals",Consultant,26,Jul,2021
62,"Great experience, exposure, great projects management skills","Just over worked and under paid, but they have been working hard on adjusting pay",Audit Senior,11,Jul,2021
63,Deloitte has tremendous resources and fantastic benefits,They set incentives for people to work themselves to the bo e,Manager,11,Jul,2021
64,"- TONS of opportunity to develop career skills and grow as a professional in various ways
- work alongside competent and hardworking individuals 
- face fruitful and instructional challenges
- experience a healthy balance of 'team-oriented' problem solving and 'solo' problem solving","- sometimes high-stress
- likely to leave comfort zone frequently 
- oftentimes, ambiguity in path to completion of tasks",Audit Assistant,9,Jul,2021
65,Flexible options for work given,Extra hours snd efforts required,Software Engineer,9,Jul,2021
66,"Great culture, very bright people who are always willing to help you.",Work/life balance can be impacted,Engagement Financial Advisor (EFA) Analyst,9,Jul,2021
67,"Culture and working environment, benefit","overtime without pay, less focus on work-life balance",Audit Associate,8,Jul,2021
68,"-benefits
-flexibility to determine what you work on throughout the day between different assignments.
- a lot of peers, diverse, smart people","- work a lot of hours during peak times 
- very beaucratic and political culture from a tone at the top of leadership",Tax Consultant II,8,Jul,2021
69,- good Team atmosphere overall from my perspective,- high attrition not really recognized by team leads,Analyst,9,Jul,2021
70,"Everyone you will work with is extremely intelligent, most have good attitude and will be very helpful",Ridiculously low pay for the hours worked,Senior Audit Assistant,9,Jul,2021
71,"Good brand recognition, ability to find projects that you're interested in",Projects and cultures vary widely,Consultant,9,Jul,2021
72,Great network and global opportunities. Always challenging,"Easy to get caught as a ""do-er"" if you don't self-promote enough.",Tax Senior Manager,9,Jul,2021
73,"Work with many intelligent people 
Lots of experience","No direction 
Senior leadership oversells and underdevlievers and doesn’t understand than that the software consultancy will not immediately be on par with its tax and audit services",Functional Analyst,23,Jul,2021
74,"Flexible schedule during non-busy season
Good perks like reimbursement for gym","Long hours during busy season
Low pay compared to industry",Auditor,23,Jul,2021
75,"Deloitte is a great firm, and I have truly appreciated my experience there. However, as the time goes on and you begin to progress at the firm, it becomes harder and harder to want to give them your best work and stay in it for the long haul. The pay continues to improve year over year and you are rewarded by staying longer. This firm will provide you with great experience and exposure to both large and small clients of all industries, and gives you a great opportunity to network with a lot of smart people.","The pay may increase every year, but they always manage to come in slightly below everyone's expectations, even if they brag about it beforehand. It also takes a very small amount of time to realize that no matter what level you're at (with the exception of partner), you are seen as a robotic cog in the corporate machine. From being rewarded with a box of peanuts and raisins after months of working 75+ hour weeks to losing your motivation to provide value; unfortunately, this firm definitely does tend to suck the life and goals out of people. Most people who stay long term (unless they have a burning passion for audit) were just like you and me, but never left and got sucked into the grind. Not to mention, benefits are average at BEST for a company of this size. $48 billion in revenue and all they can muster up is $0.25 to the dollar for 401(k) contributions (u to 6% of your salary), which is worse than any company I have ever personally heard of. It's an extremely passive and cutthroat culture but not in the good way. Communication can often be painful and it's difficult to get the time necessary with managers to collaborate and solve problems in order to move forward. And that's because they're so overworked.",Senior Auditor,6,Jul,2021
76,"Employee first through pandemic, benefits","Work life balance takes adjusting to, getting better",Audit In-charge,8,Jul,2021
77,People are great at the company,Hours can be very long here,Senior Consultant,8,Jul,2021
78,"Lots of opportunities, different projects to work on, great co-workers",Lots of rules re: compliance and corporate,Senior Consultant,8,Jul,2021
79,Benefits are nice and extensive,Hours can get super rough at times,IT Auditor,8,Jul,2021
80,"Smart, driven, kind people who foster an ideal work culture that is simultaneously supportive and high-performing.",Underpay non-MBA advanced degree experienced hires (we’re talking >50% more for MBAs with comparable experience),Senior Consultant,8,Jul,2021
81,Great resume building for going forward.,Work life balance is not good,Tax Accountant,7,Jul,2021
82,"Great firm and good team culture
Invest in teams","Not tech savvy individuals 
Not much focus on innovation",Senior Manager,8,Jul,2021
83,Federal work is fulfilling and you have the option of working with a variety of federal agencies.,Some of the projects aren’t strictly cyber work. It’s difficult to find all the available projects that Deloitte sponsors within Government Public Services,Cyber Risk Senior Consultant,8,Jul,2021
84,Great benefits. Flexible schedule. A lot of vacation and holidays,Expected to work 50-60 hours per week.,Senior Consultant,8,Jul,2021
85,"Good personal improvement, work environment","bad work-life balance, salary, benefits, network",Consultant,22,Jul,2021
86,"Great Amount of PTO/Holidays
Intellectual Community
Connections/Networking
Well Recognized Company",Not a high pay grade compared to other big firms,Anonymous Employee,6,Jul,2021
87,"steady career path
depends on what team you are in","routine work 
No sense of accomplishment",Analyst,6,Jul,2021
88,"Good place to grow for someone starting out in career. Has a lot of interesting projects. So, definitely explore the projects you want to work on and don't settle in a project for too long. 

Having Deloitte on your resume is good because recruiters from big companies reach out to you for any future job opportunities",WLB can be challenging if you are on some projects where WLB is not valued,Solution Specialist,7,Jul,2021
89,- Big 4 name recognition and opportunities,"- Everything you do will become dictated by serious budget constraints and the need to start getting involved in sales
- Bad work/life balance",Audit Manager,7,Jul,2021
90,Deloitte invests on people and train them constantly with good benefits,Salary increases are very low,Solution Analyst,7,Jul,2021
91,big company with lots of opportunities,hybrid role of consulting and technical,Data Scientist,21,Jul,2021
92,"- good wages
- nice people
- resources of the big company",work life balance is minimal.,Analyst,5,Jul,2021
93,Loads of opportunities within the company. Flexible work schedule. Agreeable culture.,Can feel disconnected at times (common in a large company).,Senior Consultant,6,Jul,2021
94,"Flexible timing, Work diversity, Work from home,","Less pay, Work life balance",Senior Consultant,6,Jul,2021
95,Amazing talent and senior leadership who care,"Not a big payer, salaries not in par",Senior Consultant,6,Jul,2021
96,Lots of non work related benefits,You are a cog in a large machine,Consultant,20,Jul,2021
97,"Innovative work environment with bright colleagues, constant opportunity to learn with each new protect",At times work life balance can be strained due to business development work outside of client facing hours,Senior Consultant,2,Jul,2021
98,"* Challenging performance oriented culture
* Pay is equitable with bonuses during COVID
* Focus on well-being, DEI and professional growth
* Smart people
* Very strong business model
* Excellent benefits 
* Lots of resources","* Overly-evaluative - 6 times per year you are given performance feedback - it really seems like overkill
* Sometimes evaluations come from different sources who don't understand the full scope of your role and that directly affects your compensation
*",Talent Business Advisor,6,Jul,2021
99,"- Technical & Skill Resources
- People
- Counseling","- Will work you as much as you let them.
- Turnover is high, don't expect your team to stay consistent.
- Hours seem to never follow plan.",Senior Accountant,6,Jul,2021
100,"- Technical & Skill Resources
- People
- Counseling","- Will work you as much as you let them.
- Turnover is high, don't expect your team to stay consistent.
- Hours seem to never follow plan.",Senior Accountant,6,Jul,2021
101,"Work/Life Balance, good people, lots of PTO (honestly too much, should reduce PTO and pay employees more).",Interns at competitors make more than salaried employees with multiple years of experience and advanced degrees,Compliance Analyst,6,Jul,2021
102,Benefits are okay but main perk is access to some great clients and wonderful learning opportunities both with client work and Deloitte learning materials.,Performance evaluation is a bit vague and it can be hard to learn how to improve.,Consultant,6,Jul,2021
103,"great for variety of experience and ""surveying different roles"" but skill development is better in industry","Must sit under 1 M or SM to grow and be carried up through the firm
Compensation and Promotions from analyst to SC follow a strict national protocol, regardless of your performance through the years.",Technology Consultant,20,Jul,2021
104,The benefits are good here,Free time limited at Deloitte,Financial Analyst,5,Jul,2021
105,Career flexibility is a great benefit,"Fast pace for slow learners, but worth the experience",Strategy Manager,5,Jul,2021
106,At Deloitte I worked with hardworking intelligent people and the projects were interesting.,The main downside is the hours/lack of adequate staff on projects. Also lots of check the box type stuff in general from the timesheets to the schedule system to the investment tracking to the CPE compliance system.,Tax Manager,5,Jul,2021
107,Motivated and energetic colleagues working with clients in most industries.,Work-life balance is tough to establish and boundaries are routinely ignored.,Manager,19,Jul,2021
108,Great salary for their workers,Bad holidays for their workers,Sales Associate,18,Jul,2021
109,"lots of opportunity for growth for go-getters, if you're a snowflake-good luck. lots of e-learning opportunity, and professional CED hours. you have the ability to work on top tier clients and regional clients as well. lots of opportunity to network with folks across all service lines. lots of opportunity to be the best professional version of yourself.","some micro cultures of the firm are not well polished. some micro culture colleagues dress like they should be delivering my lunch order. in many cases some of them are not well spoken either. I understand beginning early in your career you may not be client facing, but really, have some class and dignity for the name that pays your salary.",Senior Consultant,19,Jun,2021
110,"Flexibility, People, culture, clients, and work","Pay equity across demographics, expectations, work load, work life balance",Senior Manager,18,Jul,2021
111,Steady hours; usually longer projects; team leads do not micromanage; few IT problems; reasonable expectations/,"Below market pay; JC office is highly territorial; no benefits; once work is gone, you're gone.",Contract Document Review Attorney,18,Jul,2021
112,Work is busy. Pay is good.,Hours can be long a times,Manager,2,Jul,2021
113,"- Great mentors and managers
- Great opportunities provided by management",- Need to network a lot - could a challenge for introverts,Senior Consultant,28,Jun,2021
114,- Fast-paced dynamic environment that really helped you get comfortable with decision making,- Can get tiring especially if you can't get onto the right project for your career progression.,Senior Consultant,2,Jul,2021
115,I learned a lot about self management,I don't believe it was a very diverse company,Senior Administrative Assistant,2,Jul,2021
116,Good starting company after college,Work life balance. Pay is average,Analyst,13,Jul,2021
117,Opportunities to learn new things,Long hours and stressful deadlines.,Tax Manager,16,Jul,2021
118,"Good experience, young people, intense","Longer hours, lower pay, confusing",Audit Associate,30,Jun,2021
119,Great place to work for and good environment,Long working hours and very competative,Finance,1,Jul,2021
120,"great trajectory, good benefits, cool perks, interesting work","intense culture, too much travel",Consultant,30,Jun,2021
121,"The GPS practice is a great place to begin your career, where you have the opportunity to work on technical analytics projects as well as strategic projects. Network is strong and supportive and WLB is great.","Pay should be higher and there are low raises internally. The firm is more rewarding to outside, experienced hires.",Consultant,1,Jul,2021
122,"Large corporation, partner track, variety of projects, people","On the federal/gps side can be hard to roll off, pay disparity compared to competitors (MBB) and practitioners, lots of staff aug",IT Senior Consultant,1,Jul,2021
123,"Great training, great experiences, all shiny and pretty","Long hours and the longer you are with the Firm, the worst the pay increases get.",Pricing Manager,1,Jul,2021
124,"Learning experience, growth, young people","Hours, busy season, pay, demanding",Senior Auditor,13,Jul,2021
125,Learn a lot in a fast pace work environment,Long hours and feel under-valued,Audit Senior,14,Jul,2021
126,Great place to meet and network with colleagues.,Tough to advance from an Executive Assistant level.,Anonymous Employee,14,Jul,2021
127,Benefits like well being subsidy and health,Hours you have to work are long and the pay isn’t that high compared to other companies,Tax Consultant II,14,Jul,2021
128,It changed my life in an incredible way.,"There were no cons, only professionals.",Audit Senior Associate,29,Jun,2021
129,Great place to work and lots of opportunities,Work is a balance and we need to find our own,Principal,30,Jun,2021
130,"Team leading responsibilities early on, unparalleled access to market knowledge, amazing surrounding talent pool","Work life balance can be tough, switching between industries is more difficult than the company lets on.",Senior Consultant,30,Jun,2021
131,Good for a name on a resume,Pay and Hours are poor,International Tax Manager,3,Aug,2021
132,"Deloitte has a lot of money, and fingers in a lot of pies. If you don't mind selling your soul, there is a fair amount of opportunity. There are perks to working for one of the Big 4, for sure.","You have to sell your soul - as a private company, they take on a variety of ethically questionable (or downright awful) clients, and you don't have a huge amount of say about what projects you're willing to take on.",Senior Content Designer,15,Jul,2021
133,"Cool projects, cool people, nice benefits",There could be more opportunities to learn hard skills,Business Analyst,30,Jun,2021
134,"Smart, hard-working colleagues, plenty of opportunities for growth","Very corporate and structured feel, long hours depending on which practice you're in",Senior Advisory Consultant,30,Jun,2021
135,Great people and great benefits,Tough working environment and strenuous hours,Senior Accountant%2FAuditor,30,Jun,2021
136,Lots of learning resources and opportunities for growth/experience and flexibility to create your own career pathway. You are bound to find your community in such a large firm.,"Long hours (as any Big 4 would have), your worthiness as an employee (and main factor for compensation) is heavily placed on your utilization, and it can be hard to find genuine support for your well-being. There is a general ""it is what it is"" attitude amongst management. Also, the pay.",Risk and Financial Advisory Senior Consultant,30,Jun,2021
137,*Good perks and work-life balance,*Low comp vs the market and mediocre benefits,Senior Solution Specialist,30,Jun,2021
138,"- Flexibility
- People
- Benefits are good","- Busy season could be hectic
- Work-life balance could be compromised",Software Developer,14,Jul,2021
139,You get the opportunity to work with the firm's leadership,It doesn't feel like you are part of Deloitte as a whole,Executive Coordinator,29,Jun,2021
140,Great company to work for,I can't think of any,Cyber Security,29,Jun,2021
141,"Best projects, Smart teams, Great Learning","Tough dynamics, extreme pressure in implementation projects",Manager,29,Jun,2021
142,Awesome teams and big investment in growth,Long work hours and high expectations early on,Risk and Financial Advisory Consultant,29,Jun,2021
143,Ability to shape your day,Long house for low pay,Senior Tax Consultant,28,Jun,2021
144,Great opportunities to grow and gain experience,Long work days during the busy seasons,Tax Consultant- II,29,Jun,2021
145,"Free Money, Holidays, PTO, Competitive Salary","Hours, Daunting Start, Finding New Projects",Cyber Risk Analyst,28,Jun,2021
146,"Lots of paid time off (PTO & collective disconnect), along with great benefits (i.e., 6 months paid maternity leave)","Some managers like to micro-manage, even the good workers.",Executive Coordinator,28,Jun,2021
147,"- Good pay and people
- They are flexible as long as you can attend client calls/scheduled meetings. If your work is completed, you're good!","- Overworked, you will work all hours of the day. You will do nothing outside of work.",Tax Consultant II,28,Jun,2021
148,Deloitte has great benefits and good compensation for the consulting side,did not get to go to Deloitte university because of covid,Cloud Engineer,28,Jun,2021
149,Flexible  good .friendly pet friendly c,Far away no car no transport,Seller,28,Jun,2021
150,Flexible  good .friendly pet friendly c,Far away no car no transport,Seller,28,Jun,2021
151,"Diversity and inclusion, Prestige, Young culture","Hours, Workload, Pay in Tax",Tax Analyst,12,Jul,2021
152,Flexible WFH Good teaming dynamic,Very demanding no work life balance,Senior Manager,28,Jun,2021
153,"Great working culture with most teams
Fast pace working, lots to learn in short amount of time","1) Success heavily is dependent on your line leader/project/practice
2) Success is illusive as you move up the chain. Moving goalposts is very common
3) All bad decisions are said to be made by an invisible 'leadership'. So no accountability or clarity especially in compensation.
4) No stocks and lots of independence compliance requirements.",Senior Manager,28,Jun,2021
154,"Flexibility, learning and growth opportunities",lack of transparency in career development,Consultant,28,Jun,2021
155,"Network is amazing, tons of smart people",One out of many new hires,Tax Consultant II,28,Jun,2021
156,"Paternity leave, PTOs, Learning curve","work-life balance, compensation not worth it",Senior Consltuant,28,Jun,2021
157,"-Getting the Deloitte name on your resume. No future employer will care if you were 'Core' or 'USDC'.
-Way easier to get hired into USDC vs more-elite Core Consulting, especially if you went to a non-elite university (Northern Arizona U, etc.)
-New offices
-Pay is generally fine, benefits are decent
-People are friendly
-I needed to take some time off for health concerns, and Deloitte's HR was very supportive and I still received 100% of my salary
-Lots of enrichment classes offered in the office","-Pay is significantly lower than in Core Consulting
-If you're young and looking to travel and get those travel points built up, that won't be happening at all in USDC
-No cafeteria, despite hundreds of workers when the office was open
-Young grads with impressive software coding skills could make way more nearly anywhere else than the 60-80k that they'd make at USDC
-You're measured by your utilization rate; it can be tough to hit that number at times
-If you're in Advisory and there's an awesome opportunity in Consulting, you probably won't be able to get staffed on that project.
-By being part of the low-cost USDC, you don't get to go to things like Deloitte University in Texas.
-Very far from the city center of Phoenix / Scottsdale, although downtown Gilbert (ten minutes away) is decent",Senior Solutions Engineer,6,Jul,2021
158,"BroadNetwork, matter expertise, Lateral movement","Compensation 
WLB
Management 
Strict promotion schedule",Senior Consultant,24,Jun,2021
159,Looks good on the resume. People who are not in it want to get in. A diverse place with many different backgrounds,"Every team has more managers and few analysts. Which ends up making life difficult for anyone who does work more than talk about it.

As an intorvert, the team is usually not excited about sending client interactions which is a major career setback 

Tech stack deserves museum status",Graphic Designer,25,Jun,2021
160,"Diversity and inclusion, Prestige, Young culture","Hours, Workload, Pay in Tax",Tax Analyst,12,Jul,2021
161,Varied experience by working on different projects,Limited scope based on entity you join,Senior Consultant,26,Jun,2021
162,"- very capable peers
- high industry and client respect
- lots of resources to get the work done
- no matter what it is, someone in the firm has done it and people are almost always willing to give time and share their work with others
- working on improving DEI outcomes
- 6 months paid maternity and paternity leave (!)
- strong community feel in many places
- ""you own your career"" - you have a ton of flexibility to find your niche and type of work, and to create networks around you that will support you","- if you come in paid low, there are few ways to remedy that other than leaving and returning
- ""you own your career"" sometimes it's confusing and contradictory to understand what's going on-- the firm is huge and not always well connected, and there's not an easy way to find clear cut answers or communities",Senior Consultant,23,Jun,2021
163,"Great and beneficial experience, especially for early career staged. The value in this fast past environment of experience can really set you up for success later in the playing field. Never did a moment arise where I needed help I did not receive it. Great coaching, but politically driven. Just get yourself enough experience for an exit opportunity.","Toxic management, only focused on the transactional ""get it done for the client so we can get more business"" attitude. Team mates can get very anxious and nervous which will stress out folks below.",Consultant,24,Jun,2021
164,The people make the difference with this firm.,To many layers to get to a decision.,Operations Manager,26,Jun,2021
165,A great place to learn and grow,Hard work and long hours,Chief Executive Officer,26,Jun,2021
166,Smart people. Stretch roles. Strong development culture. Make an impact and innovate in industry and role. Hard to get bored here. Very fast paced,Work life balance. Politics. Lack of appreciation,Recruiting Manager,25,Jun,2021
167,Awesome place to start your professional life.,"Moving up the ladder is easy enough, but getting paid much more as a result is hard.",Technical Solution Specialist,26,Jun,2021
168,"Love the people I work with and get to do great, mission-focused work with ideal work-life balance",The size of the firm can feel a bit stifling and difficult to rise quickly in salary and title,GPS Analyst,23,Jun,2021
169,"Work Life Balance
Project Opportunities
Pay is good","Boring
No one trains you on what you're doing",Anonymous Employee,24,Jun,2021
170,"Work Life Balance
Project Opportunities
Pay is good","Boring
No one trains you on what you're doing",Anonymous Employee,24,Jun,2021
171,Everything is the best of the best.,None at all for me,Senior Consultant,25,Jun,2021
172,The people are really good,The hours can be long,Assistant Manager,25,Jun,2021
173,Ton of work and client flexibility,Tough to find your way around the organization,Senior Consultant,25,Jun,2021
174,"Pros are people, process, and environment",One of cons might be salary,Senior Manager IT,25,Jun,2021
175,Exciting clients. Talented people. A great atmosphere.,"Feudal system, and if you end up in the wrong team you might be stuck with awful projects.",Manager,25,Jun,2021
