,pros,negs,profession,day,month,year
36,"-Focus on improving social impact and employee experience (DEI)
-Smart people
-Good internal tools, resources, frameworks
Overall a great place to begin your career as a strategy & ops professional","-Most projects are boring. Deloitte is taking on more and more operational / tech transformation work which is not that interesting.
-Very rigid and low pay for the industry
-People are cookie cutter. They say ""bring your authentic self"" but people who wear J Crew and do Soulcycle fit in best.",Consultant,16,Feb,2022
37,"In GPS (gov), they generally don't expect you to work more than 40 hours a week.","Too much reliance in analysts to ask in order to get help. They seemed to have somewhat high expectation when I first began and I found myself asking how to do a bunch of things daily for my first month or two. Granted, my colleagues were very patient and helpful when I did ask questions.",Consulting Analyst,17,Feb,2022
38,"Great experience as a stepping stone job, great starter job and 80% of what you need to succeed is relatively easy: know when to talk and when not to, PowerPoint, some excel, butter up leadership ego - everything else is a bonus that will get you the sexy roles.","I got a ~7% raise in 3 years, including a promotion, all hidden behind a “COVID” smoke screen. Long hours, traveling for work kills social life in your home city, longest performance review cycle with about 6 months from start of the chat to when you see it reflected in your pay. Lots of type A personality leaders and very cutthroat.",Consultant,18,Feb,2022
39,"Rich culture
People care about each other 
Company cares about well being of the employees",May not be as good of a pay master as it’s competitors,Specialist Leader,18,Feb,2022
40,Big 4 Accounting Firm DFW,"Long Hours, Busy Tax Season",Staffing Consultant,18,Feb,2022
41,"Deloitte is a great training ground for early career professionals. You learn quickly and develop valuable skills. They also have fantastic parental leave and are very supportive of ""flexibility"" even though the total amount of time worked is often high.","It's often hard to work on exactly what you want to do, and traditionally Deloitte has been a second tier compensator. I believe they are trying to be a highly profitable company that does moderately interest work, but they still brand themselves as doing the most interesting work with the smartest people. In my experience, that is generally not true.",Manager,4,Mar,2022
42,Good work life and balance,A little bit demanding and stressful,Software Engineer,17,Feb,2022
43,"Amazing exit opps, great development opps","Long hours on certain projects, expectation for outside initiative work",Analyst,15,Feb,2022
44,Mid market adjustment this year,Was grossly under paid prior to this years mid market adjustment- salary does not keep up with inflation,Specialist Leader,16,Feb,2022
45,Great Management that cares for their employee,None that I know of,Scrum Master,16,Feb,2022
46,"Unlimited opportunities to grow, lots of flexibility and great benefits!",Sometimes work life balance can be a challenge,Senior Consultant,16,Feb,2022
47,"They gave a bonus in the beginning, and laptops to complete work.","After buying our company, they shut us down a little after a year.",Office Associate,2,Mar,2022
48,"Exposure, Travel, Learning new skills","stressful, work-life imbalance, overly competitive",Manager,16,Feb,2022
49,Everyone seems very friendly and willing to help the newer staff,There is disconnect between staffers who work on different projects but are the same level.,Staff Accountant,16,Feb,2022
50,"- Good reputation
- Good culture",- Lack of work/life balance,Tax Consultant- II,1,Mar,2022
51,I think the company is good,I think there is nothing bad,Consultant,2,Mar,2022
52,"Deloitte Audit has a great management team, they are trying to create a culture that cares about employees and provides benefits and balance.","The culture at the top doesn’t reach the bottom. Audits aren’t organized correctly, employee health is sacrificed for billable hours, it’s discouraging.",Audit Assistant,2,Mar,2022
53,Amazing benefits and a great workplace,There are long hours during busy season,Transfer Pricing Consultant,15,Feb,2022
54,Multinational and technical expertise. Great team work.,Moving into new positions is difficult.,Finance/Accounting,15,Feb,2022
55,Lots of opportunities to do what you want,Chaotic at times. Have to learn to navigate.,Solution Consultant,15,Feb,2022
56,Great employee resources and expense procedure,Consulting is a very tasking job.,Consultant,15,Feb,2022
57,"- supportive team
- great benefits
- diverse workspace",- busy season can get tough at times,Tax Consultant,13,Feb,2022
58,"The teams I worked on were amazing. 
- Collaborative community 
- Constantly Learning 
- Competitive 
- Promotion Readiness",You can work long hours (8-10 hr days),Business Analyst,14,Feb,2022
59,Lots of travel opportunities were great,The could do better maybe in work life balance,Data Engineer,1,Mar,2022
60,Lots of travel opportunities were great,The could do better maybe in work life balance,Data Engineer,1,Mar,2022
61,Good benefits salary. Nice office,Politics. Great if you are an auditor,Technical Specialist,14,Feb,2022
62,"collaborative culture, friendly employees and staff",work hours can be long,Director,14,Feb,2022
63,benefits and pto are great,"Work can be boring, difficult to navigate your career in such a large place.",Consultant,28,Feb,2022
64,"Interesting work, collaborative coworkers, and fair work life balance",Pay could be increased in HCOL area,Tax Consultant II,13,Feb,2022
65,Great I love it here,Not too bad to say it’s cool,Consultanr,8,Feb,2022
66,Benefits Package and Compnay culture,My manager did a lot of micro managing,Governance Analyst,12,Feb,2022
67,The prestige of the company will open many doors.,The organization is not making significant progress in placing minorities in leadership roles.,Senior Consultant,27,Feb,2022
68,All people are independent and respect each other.,"Hard work, longer charge hours are most welcome.",Anonymous Employee,11,Feb,2022
69,"Clear promotion path, interesting work","long hours, not super organized sometimes, work on weekends fairly regularly.",Transfer Pricing Consultant,12,Feb,2022
70,Good team and known application.,lack of latest technologies and not enough opportunities,Project Delivery Specialist,12,Feb,2022
71,"Get the chance to work on multiple projects 
Great group of smart people",Have to find the right group within a rage company or you can get lost / get bad projects,Consultant,12,Feb,2022
72,"Benefits, people, PTO, diversity, Organization","Hours, expectations, salary, leadership, training",Tax Consultant I,26,Feb,2022
73,good salary and work opportunities,very little work life balance,Strategy and Operations,26,Feb,2022
74,High salary for analyst level I guess. But not high enough to afford an apartment on your own near the office. Happy hours are nice. Plenty of trainings to take advantage of.,You’re working nearly 12 hours a day with hardly any perks when you’re working from home.,Solutions Engineering Analyst,26,Feb,2022
75,Challenging work all the time,"Head heavy organization, less number of real workers",Enterprise Architect Lead,10,Feb,2022
76,"Incredibly corporate, diplomatic, smart individuals at firm.",Firm values politics above all else. Client service is about how to get by.,Senior Manager,25,Feb,2022
77,Good for non technical skills,Lot of grunt work. Too much politics,Business Technology Analyst,25,Feb,2022
78,Supportive and invest in their talent,"When it's busy, it's very busy",Senior Consultant,9,Feb,2022
79,If you're into consulting then Deloitte is firm to work with.,Too much traveling and can be aggressive at times.,Cloud Engineer,10,Feb,2022
80,"Large company with lots of contracts. This adds a significant degree of flexibility, and the ability to find a project that fits your interests and needs. They also have a great benefits package and and very flexible and supportive of life events (leave of absences, child birth, family care, etc.). They are supportive of work location preferences (in-person, hybrid, remote).","The company functions best through personal connections and networking. However, in a remote work environment, this makes it very difficult and isolating for newer employees.",Senior Consultant,10,Feb,2022
81,good experience and a lot of different people,never ending and constantly some large deadline to meet,Audit Senior Assistant,10,Feb,2022
82,Great company with great benefits and numerous opportunities,Deloitte was great in my experience,Senior Project Manager,10,Feb,2022
83,"Prestigious company
Tons of resources at your disposal
Good benefits
Amazing people","Long hours
High stress
Tight deadlines
Low pay for the time commitment",International Tax Consultant I,9,Feb,2022
84,"Great brand, good policies for people.",Individual experience within the firm not consistent but highly dependent on project and network,Project Delivery Lead,9,Feb,2022
85,"Networking, career growth, learning opportunities",Long hours. Travel. 401k match low. Compensation increases,Manager,9,Feb,2022
86,"great flexibility, travel perks, challenging work","long hours, mandatory firm initiatives",Consulting Senior Manager,10,Feb,2022
87,fast learning curve for entry level,long working hours and stressful,Analyst,10,Feb,2022
88,What I lived most about Deloitte were the fantastic colleagues and incredible training. You will learn and grow. Highly recommend.,It’s a lot of work and expectations are high,Project Manager,8,Feb,2022
89,Great learning opps and network to leverage,"Pay, culture, bureaucratic, staffing shortages",Analyst,8,Feb,2022
90,Love working at this company,Lack of support for jr staff in projexts,Human Capital Consultant,9,Feb,2022
91,Great culture in the firm.,"Unfortunately, the firm lacks diversity.",Analyst,9,Feb,2022
92,Great people to work with,Job can get very repetitive,Engagement Financial Advisor (EFA) Analyst,9,Feb,2022
93,Deloitte is a globally known organization and the brand recognition is second to none. The amount of resources they have at their disposal is amazing.,All the cons that can be associated with a large organization.,Senior Tax Consultant,8,Feb,2022
94,"Great benefits, generous time off, lots of opportunities to grow skill set, Deloitte University is an incredible training facility","Stressful, very competitive, requires constant networking",Manager,9,Feb,2022
95,"Many benefits, receive a well-being subsidy every year",You have to work here for 3 years below you can apply to receive tuition coverage for master degree,Business Analyst,9,Feb,2022
96,Fantastic flexibility and opportunities to work various clients,Long hours and lots of internal turnover,Audit In-charge,9,Feb,2022
97,Best mentors and colleagues for life.,Very long hours and difficult work life balance.,Tax Senior,9,Feb,2022
98,"Great brand, awesome learning experience, and fun people",Relatively low pay and job can feel all-consuming at times,Consultant,22,Feb,2022
99,Deloitte is a great place to work. Very dynamic and you will learn a lot.,"Hours can be long, clients can be difficult",Senior Consultant,7,Feb,2022
100,Great place to advance in career fast,Takes long to start advancing,Consultant,8,Feb,2022
101,Great benefits and great people,Long hours and boring work,Senior Auditor,8,Feb,2022
102,Great Benefits and work life balance.,Hard to find your voice in such a big company,Senior Analyst,8,Feb,2022
103,"1) Intelligent Co-workers
2) Great benefits
3) Excellent, wide-ranging opportunities","1) Workload can be difficult at times
2) Networking can be tiring",Consultant,8,Feb,2022
104,"Great pay, developed me well","Long hours, but to be expected with the role",Senior Consultant,8,Feb,2022
105,"Lots to Learn
You work here you can work anywhere
Really gets your technical skills up to game","NO work life balance
NO sense of boundaries outside work
Top heavy",Senior Solution Specialist,8,Feb,2022
106,Allow remote work and offer a well-being subsidy,"The IT consulting department (commercial part) is suffering from diversity crisis - they hire only representatives of one foreign nation with a completely different culture and mindset from what you would expect in the US, hence you have to deal with sexism, homophobia (despite what they are saying about inclusion and support of minorities), lack of professionalism and overall toxicity. It's a definition of a toxic workplace. Managers can lie to you to to make you accept a project which can turn out to be completely irrelevant to your skills and interests and they will never release you. If you complain - expect retaliation through your performance review. They do have HR process for cases above, but most people don't want to deal with it or are afraid to get themselves into bigger trouble. This is why they have such huge employee turnover. They try to retain people by offering signing bonuses that you have to pay back if you leave before reaching 2-year tenure, so some people choose to stay just to avoid this penalty. Another terrible thing - they don't deliver anything useful to clients, you can spend a whole year on a project without being able to follow any best practices or delivering any meaningful work - the way it works is they agree to anything clients say without actually CONSULTING them and then keep telling everything is going well (client don't usually check the work) and continue charging them - everything is about money only. I don't believe this will last long. Pay is also way below market. If you care about your career and your mental health, want to improve your skills or learn something new - avoid this place at all costs.",Senior Solution Specialist,10,Mar,2022
107,Learned a lot about taxes in a quick time,"Worked way too many hours, no work life balance, no support by management",Tax Consultant II,14,Mar,2022
108,Great benefits and salary. People are phenomenal,Long hours from time to time and pre Covid there was a lot of travel,Senior Consultant,4,Feb,2022
109,"- company card
- travel
- Deloitte university
- Solid pay","- Lots of hour
- No meaningful work",Intern,7,Feb,2022
110,Good place to start your career for resume building,"One in 200,000+ employees and treated as so",Senior Tax Consultant,7,Feb,2022
111,The people were by far the smartest and hardest working people there. On my first day I was sending emails to Partners and they were responding back to me within minutes ready to help me find my first project or answer any questions I may have had.,"I came on as an experienced hire. It was very difficult to come in at a Manager level, with no Deloitte experience, and be expected to already know the Deloitte way. It is certainly trial by fire but there is very little support as those below you expect you have the answers, and those above you expect you already have the answers.",Manager,7,Feb,2022
112,Health Benefits and other bonuses,Working environment and work pressure,Executive Assistant,8,Feb,2022
113,Compensation and growth opportunities. The people vary based on team.,"Hours, expectations, and lack of appreciation. Really depends on your team though.",Senior Consultant,8,Feb,2022
114,recent market changes saw cloud practice consultants salary jump over 25%.,"WLB depends on project. Have been on projects with 2am days regularly, but current project hours are less than 10 per week.",Consultant,8,Feb,2022
115,"Salary, experience, connections are good.",WLB can be bad if you let it.,Government and Public Sector Analyst,22,Feb,2022
116,Quick to learn new things,Bad work - life balance,Data Scientist,6,Feb,2022
117,"compensation, bonuses, one project at a time, great management that want to progress your career, loyal people that work well together","long hours some weeks without overtime, tough to navigate a lot of administrative things when starting remote",Consultant,6,Feb,2022
118,Motivation salary and good team work spirit,contract shall be be detailed,Administrative Assistant,7,Feb,2022
119,Great compensation and benefits for sure,"None really, awesome work environment",Tax Associate,7,Feb,2022
120,Exposure to different GPS projects,"Pay structure is misaligned, gotta hope that you get on a good project with good management",Consultant,22,Feb,2022
121,The work culture is great,The compensation could be better,Advisory Manager,6,Feb,2022
122,You learn a lot while you are there. All of my managers/ partners were awesome. It was a teaching atmosphere where even my senior managers would explain difficult concepts at the height of busy season. My advice is to push through until you are a senior then jump ship.,"You work a lot, I mean a lot. So if you don’t have a family this is a a great place to start your career.",Tax Senior,7,Feb,2022
123,Great at flexibility of choosing your own projects.,Very easy to get lost and little to no guidance during your career journey.,Consultant,7,Feb,2022
124,Great benefits and opportunities to grow,"The company treats all employees well, but long-term employees that start with the form early in their career are coveted to a great degree more than those hiring in from industry roles outside of consulting services.",Senior Manager,7,Feb,2022
125,"Great opportunity, mostly good people",Pay is below industry average,Business Analyst,7,Feb,2022
126,"Interesting projects, pretty flat hierarchy, hours aren't crazy and work-life balance is usually good, holiday/PTO/leave policies are really generous.","Hard to find the interesting projects, compensation is well below the McKinsey/Bain/BCG levels.",Data Scientist,7,Feb,2022
127,many resources and opportunities for extra curricular involvement/practice development. Really smart and kind people and good WLB. Networking onto projects is commonplace and somewhat flexible,Rigid promotion timeline and under competitive pay,Senior Business Analyst,21,Feb,2022
128,"- variety of experience 
- steep learning curve","- managing client and internal projects
- ok compensation 
- high burn",Senior Consultant,5,Feb,2022
129,"- Compensation 
- Internal Team Culture 
- Client Relationships 
- Remote flexibility during pandemic","- WLB
- Travel during non pandemic",Senior Consultant,6,Feb,2022
130,"Great company, culture and people","Audit influence, huge range of compensation",Associate Partner,6,Feb,2022
131,Prestige and great resume filler,Poor work-life balance and high stress,User Experience Designer,20,Feb,2022
132,Great tools and tasks for data science and data management applications,"Bad culture for technology roles in general, managers can be non technical and too many formalities related to consulting that impede technological innovation

-comp is also low relative to the title sr. data scientist",Senior Data Scientist Consultant,5,Feb,2022
133,Good exposure to senior client leadership,"Poor support from Managers, low touch",Senior Manager,3,Feb,2022
134,Ability to travel for client project. Expense account when traveling. Fast pace learning and great industry experience.,Demanding work hours. No transparency with managers and work requirements. Difficult on-boarding because of the fast pace environment.,Consultant,5,Feb,2022
135,Good for ramp up experience,Ppt skills r highly valued!,Manager,4,Feb,2022
136,"- Great people
- Lots to learn
- Numerous opportunities","- Low pay
- No proper recognition
- Hard to be promoted
- New hires get paid more and your adjustment will not even match them",Solution Analyst,17,Feb,2022
137,Very good company in Malta,Pays very less compared to other companies in Malta,Manager,4,Feb,2022
138,Excellent career progression; high salary; strong benefits and perks; great for those who like to travel; lots of exposure to different clients and industries,Long work hours; high expectations; easy to feel burn-out if you are on a difficult project,Senior Consultant,4,Feb,2022
139,It's a great company to work for.,Nothing really bad to mention yet.,Cost Modeling,4,Feb,2022
140,Good pay and excellent experience to learn about the industry,The hours are long in public accounting,Audit Intern,4,Feb,2022
141,Can gain lots of experience through various projects and general consulting.,Toxic culture. Leading through fear. Junior staff are overworked and pay raises for junior teams are always very low. Lots of work and few abilities for growth. Lots of promises to non partners and firm is unable to meet them.,Partner,7,Mar,2022
142,a lot of work everyday,shifting priorities from management; workflow is sporadic,Senior Manager,19,Feb,2022
143,None! If you want to lose all your confidence in life then join Deloitte USDC.,Deloitte USDC is the worst company to work for.,Solution Analyst,8,Mar,2022
144,Experience right off the bat,Lack of human connection at times,Analyst,3,Feb,2022
145,Resume builder. Intelligent employees. Great training,Long hours and little pay,Tax Manager,3,Feb,2022
146,Great chemistry and culture. Flexible hours and remote,"No travel, low on the consulting totem pole",Consultant,3,Feb,2022
147,"Found some very smart, kind coworkers. While there's room for improvement at the top, leadership messages a lot about the importance of diversity and inclusion. Great salary and benefits, plus beautiful and comfortable office space in Rosslyn and perks like free meals and wellness subsidies. Pretty good work/life balance most of the time (except while on proposals).","Very unstructured orientation and onboarding where new hires are expected to network their way onto projects (which are mostly IT implementation/HR transformation, really dull stuff). The firm way overvalues people who've been at Deloitte since undergrad who only know how to make decks and don't have outside ""industry"" experience. GPS is sort of a mixed bag of smart wonky policy people and overly confident MBA bros. Unfortunately it really pays to come off as super confident, speak over people in meetings, and tell everyone how great you are because that's how you get promoted.",GPS Consultant,16,Feb,2022
148,"Deloitte is huge and once you get your foot in the door, many opportunities to advance or move around.",The team I'm on is quite small and can be isolating. It's been difficult to build relationships.,Tax Senior,17,Feb,2022
149,"This is a great company that has established itself well for a reason. However, networking to find high- profile projects is challenging and competitive and performance system doesn’t work for everyone. The scale is also typical of a huge organization that continues to struggle in defining a healthy culture that values personal contribution and quality of work over status/ job title. I also encourage accepting an offer at an office/ city you know you’ll enjoy. Other than that, competitive place to learn and grow in virtually any business area in existence.","Non- merit based performance rating system, availability of high quality projects, and work life balance at times.",Technology Consultant,18,Feb,2022
150,"Very proud to have worked for a company the celebrates diversity, inclusion and kindness.",Tendency to silo employees and trap them in positions they don't want due to a lack of resources.,Quality Risk Management Specialist,3,Feb,2022
151,"1. Great opportunities
2. Enables you with latest tools and technologies
3. Flexible working culture
4. Empowered well-being offers and subsidy
5. Good cash bonus for avg to good performers
6. Very less or no travel to client location for Deloitte USDC employees",1. Work work work work and work,Senior Solution Specialist,2,Feb,2022
152,"Big 4 firm
Technology is great
Training
Job opportunities","Work life balance
Beg for work 
Team fit",Multistate Tax Consultant,3,Feb,2022
153,Good reputation and flexible hour,Long working hour and tense working pace,Auditor,3,Feb,2022
154,Versatile projects across technology and business lines,"poor work life balance
average compensation",Senior Consultant,3,Feb,2022
155,"Good support
Want what's best for you 
Health and wellness benefits 1k","Salary
Consulting is busy
Work day loads vary",Junior Software Engineer,3,Feb,2022
156,Great people and great learning opportunity,"Poor culture, management does not value you",Analyst,3,Feb,2022
157,"I had a great team, everyone was understanding of the long busy season hours and encouraged breaks and prioritizing your mental health. The subsidies were nice as well. WFH options good","Busy season in general is a lot to take in. No matter how nice your team is, it's not sustainable.",Audit Assistant,16,Feb,2022
158,Great benefits all around for employees,"Terrible work life fit, crazy projects",Consulting Senior Manager,17,Feb,2022
159,"Challenging, great for learning and growth","Lack of internal flexibility for promotion cycles, compensation",Senior Consultant,17,Feb,2022
160,"Company cares about its employees, interesting clients, freedom to move where you want",Gets hectic during busy season,Financial Risk and Advisory Consultant,1,Feb,2022
161,Great company to work with an amazing career opportunity,Traveling can be challenging sometimes.,Pogram Manager,2,Feb,2022
162,Great resources for training as a young consultant,It’s very easy to get lost,Strategy Analyst,2,Feb,2022
163,Opportunity to learn different aspects of industry,"Depending on project, hours can vary. Lifestyle is not consistent",Senior Consultant,2,Feb,2022
164,really love the etam environemtn,really love working woth others not workin g,Vice President,2,Feb,2022
165,"Great Pay, Great benefits, solid networking","Work Life balance can be challenging depending on your role, competitive (could be a pro)",Analyst,2,Feb,2022
166,Good Place to work for,None at the moment to list,Architect,1,Feb,2022
167,"*Learn from other professionals 
*Exposed to differences line of services","*Rigid environment
*It’s hard to work-balance.",Tax Consultant II,2,Feb,2022
168,"$1,000 Well Being fund for you to spend each year on like golf, yoga, gym and various other things. A lot of disconnect days","Hard to find help sometimes. You have to do a lot of digging yourself to understand how everything works at deloitte. Hard to move up without doing more than your 45+ hour client work, need to do extra stuff outside of working 45+ hours.",Solutions Analyst,16,Feb,2022
169,"Variety of industries and opportunities, easy to transition to different areas. Flexibility to shape your career. Great pay.","Impersonal, poor hours, takes a long time to ramp up and get settled",Consultant,16,Feb,2022
170,Potential growth and opportunity for development,Not a lot of visibility into comp,Analyst,31,Jan,2022
171,"“Deloitte” is the brand under which approximately 330,000 dedicated professionals in independent firms throughout the world collaborate to provide audit and assurance, consulting, financial advisory, risk advisory, tax, and related services to select clients.",The Deloitte organization is a global network of independent firms and not a partnership or a single firm. DTTL does not provide services to clients.,IT Auditor,1,Feb,2022
172,"Good Network, High Value Opportunities, Leadership Exposure","Too big, Red-Tape, No travel",Analyst,1,Feb,2022
173,Great compensation and great team,"Too much work, and pressure",Audit Senior Associate,31,Jan,2022
174,Brand recognition and big 4 experience,Long hours and stress during busy season,Audit Assistant,1,Feb,2022
175,"Good company to learn and Grow, opportunity to work for multi industry projects","Less salary hike and bonus, 
Not all levels people deserve bonus",Solution Delivery Lead,1,Feb,2022
176,"Great Benefits
Great Training
Great People
Fantastic Co-workers
Management is great 90% of the time
Growth Opportunity
Very flexible
You can do the best with the opportunities you have in there but if your personality is go-getter","Nothing is perfect so:
Some managers/leaders don’t care/do anything for you.
Too many politics
Too many metrics “reviews” / popularity contest
If you are the type of person that needs to be told what to do, this company is not for you.",Senior Product Designer,29,Jan,2022
177,Great resources and opportunities for development,Work / Life balance can suffer. Many work weeks are 50+ hours,Product Manager,29,Jan,2022
178,Deloitte is a big company and has a lot of opportunity to get exposure and credentials for someone trying to make an impact to their career. I gained a valuable credential that significantly enhanced my career and earnings potential. Some teams within Deloitte can be a lot of fun to work with.,"Objectively bad benefits, compensation and horrid retirement unless you make the partnership. I worked on a large IT project that was constantly missing milestones because of incompetence, lack of experience, and poor leadership. PPMDs didn't seem to be very present or have much, if any technology experience. There are frankly too many MBAs and consultants instead of experienced professionals. My direct lead was toxic and constantly derailing morning meetings to interrogate me in front of our team among other issues. They later left the project but seemed like a byproduct of Deloitte's ""culture"" as this behavior existed elsewhere in the company. There were also multiple instances of senior employees throwing other people under the bus to cover up large mistakes.

The company itself is a failure from a diversity & inclusion perspective. Deloitte's talent models are basically a discrimination based system where Deloitte Consulting is obviously mostly ivy league types where those from other backgrounds usually end up in Delivery Center or Project Delivery (PDM). PDM is more like being a sub-contractor to Deloitte and you will miss out on many benefits. It's frankly awkward when your colleagues get to go to Deloitte University but you cannot.

Some might read into this as me just not being Deloitte material, and honestly I don't know who would want to embody the leadership I experienced. These failures ultimately showed in the terrible delivery on my project and constant contract turmoil. Outside of the project I was on, I'm sure there are better places to be within Deloitte however I suspect the culture I experienced is present elsewhere. While I do not regret what I gained from the experience, working here was my most unenjoyable experience in ten years.",Senior Consultant,9,Feb,2022
179,"Good PTO days, collective disconnect between Christmas & New year's, and $1K wellness plan per year.",End up working many late nights...,Engagement Financial Advisor (EFA) Analyst,30,Jan,2022
180,Pretty good pay and end of year bonuses of 20%. Lots of wellness benefits,Long hours and experience is very team dependent,Consultant,31,Jan,2022
181,"Tons of resources to learn from 
Great network building 
Exposure to many different industries and projects (if not on a long term project)
You feel like one in a million","Unpredictable 
Politics hard to navigate 
You feel like one in a million",Consultant,31,Jan,2022
182,Great way to get your name out there with high profile clientele,"Huge firm - if you don’t strategically network, you will feel lost.",Senior Consultant,31,Jan,2022
183,Some benefits are nice to have. Some managers are very helpful and happy to help.,"The amount of stress does not match the pay. Lots of raises, COLA, retention bonus and salary adjustments handed out but not for my department",Human Resources Specialist,14,Feb,2022
