,pros,negs,profession,day,month,year
80,"Tons of opportunities to expand learning and experience new challenges. Very nice benefits, and healthy compensation package.",Lots of work. Definitely expected to go beyond normal client hours.,Manager,10,Aug,2022
81,Wonderful culture and growth opportunities.,Alot of pressure. Be warned.,Audit Senior,10,Aug,2022
82,the benefits are great so use them,Long work days will happen,Tax Senior,10,Aug,2022
83,"good ok.
Very nice
excellent","nothing at all.
everything is perfectly fine",Audit Manager,10,Aug,2022
84,Good pay and good benefits,Bad hours and low flexibility for working outside of the US,Audit Manager,10,Aug,2022
85,"Great benefits 
Employee growth
Competitive Salary
Friendly and helpful peers
Caring management",no cons that I've seen so far,Salesforce Developer,8,Aug,2022
86,"Love Deloitte, great benefits, and fair salary. Opportunities to be promoted within your first 2 years. A company you could make a life with if you like hard work.","It's very project specific, but knowing that there are high expectations of people within the company and the workload is high.",PROJECT DELIVERY SENIOR ANALYST,9,Aug,2022
87,All good in organisation if you are working,If you work then nothing,Project Manager,9,Aug,2022
88,"The pay is good
Benefits are very nice
Opportunity to work several type of project","Work life balance can be heavy
Hard to find a project align with technical skill set
Often have to network to find a project within the company",Solutions Engineer,8,Aug,2022
89,"- Benefits 
- Hybrid work 
- Strong / smart people","- Work life balance 
- Office politics",Senior Manager,9,Aug,2022
90,"- Great support in times of need
- Relatively competitive salary as you get higher up (50% CAGR from start to y7)
- Great healthcare
- Good people","- Culture of long hours
- Skype has to be green to be seen as productive 
- A lot of busy work",Strategy Manager,9,Aug,2022
91,Good pay. Plenty of projects to work with.,Performance driven. The company can do without all the politics.,Consultant,9,Aug,2022
92,"Great place to learn a lot about technicals, huge resources, flexible working environment. Great benefits. DEI is emphasized.",A lot of red tape and bureaucracy due to being a large company. Pay is barely competitive.,Tax Senior Manager,9,Aug,2022
93,"good culture, people, career progression, flexibility to work from home","hectic unpaid hours, work life balance",Senior Auditor,9,Aug,2022
94,"Big company, big reach, good social culture","Terrible work life balance, need political capital",Tax Consultant II,9,Aug,2022
95,Benefits are the best in business,No real career path for global,Senior Manager,23,Aug,2022
96,"Great company, with great benefits",I don’t have any cons,Specialist Leader,7,Aug,2022
97,Better work and life balance compared to other Big 4,Little lower salary compared to other Big 4,Senior Tax Consultant,8,Aug,2022
98,Great company working alongside smart people.,Salary has not kept up with market standards.,Procurement Manager,8,Aug,2022
99,The salary and benefits are a pro.,Sometimes you feel stuck on a project,Strategy and Analytics Consultant,8,Aug,2022
100,The salary and benefits are a pro.,Sometimes you feel stuck on a project,Strategy and Analytics Consultant,8,Aug,2022
101,"- flexible hours
- can work from home","- inconsistent work load
- poor project management
- sometimes have poor work-life balance due to busy season",Risk and Financial Advisory Analyst,23,Aug,2022
102,"Work from home, flexible hours, good health insurance","Management clearly had favorites. Gave the same three people opportunities over and over
Lot of non-billable work expected on top of 40 hour billable work week. Not a lot of opportunity for taking on leadership roles.",Analyst,8,Sep,2022
103,Junior level will have sufficient amount of work and not asked to work on weekends and holidays with out permission.,senior level at deloitte will have plenty work,Solution Analyst,7,Aug,2022
104,"Good Benefits,
Good Pay,
Work From Home,","Responsibilities not assigned to your role,
Work overtime,
Understaffed",Data Scientist 2,7,Aug,2022
105,Good client but hard to navigate,Culture can be better and merit based,Managing Director,10,Sep,2022
106,"Excellent benefits, extensive resources, large network",Difficult to get promoted and achieve recognition,Salesforce Consultant,4,Aug,2022
107,"The people, the benefits, and the hours.",The pay is not the best.,Consultant,4,Aug,2022
108,"* Good Working conditions
* Flexibile Timing
* Remote Work
* Good pay scale",* No such cons as such I faced,AWS/DevOps Engineer,6,Aug,2022
109,"Competitive environment 
Growth client focused 
Learning opportunities","Hard work
Frustrating deadlines at times",Audit Senior,6,Aug,2022
110,"* at the moment at least, you can determine how frequently you want to work from home or not. There’s flexibility to move to projects that suit your needs. 
* there are a ton of trainings, events, etc that can help you become more skilled, network more, and so on","* your enjoyment of the work, work-life balance, job satisfaction… it all really does depend on your client/project/team.
* lots of annoying compliance stuff to worry about, especially as a federal contractor
* performance review/promotion is incredibly bureaucratic and takes forever",Solution Specialist,20,Aug,2022
111,Good compensation and network benefits,Needs better work-life balance. Many weeks average 60-70 hours a week,SAP Consultant,2,Aug,2022
112,Lots of fun project and got to travel for free!,Not much. Pretty great place!,Senior UX Designer,1,Aug,2022
113,"Nice company to work with, lot of learning and network opportunity.",Slow growth if you are in USDC.,Senior Solution Specialist,5,Aug,2022
114,"Incredible talent pool consisting of gifted, ambitious and hardworking consultants. Most are young and bring lots of energy to projects. Company has a strong presence in almost all industries and fields so theres almost nothing Deloitte can’t do for clients ranging from traditional strategy consulting to project implementation to operational support. Deloitte University is a big investment in practitioners and everyone gets to work on some rewarding and challenging work.","Most projects move fast and we have to stay ahead of clients needs. The company expects you to hit home runs on client projects BUT also contribute to internal initiatives, conduct BD. When I look around I notice those that do well prioritize work and their career at Deloitte above family and personal goals. Hard to balance life at Deloitte.",Senior Consultant,5,Aug,2022
115,"Diverse projects, hybrid work environment, culture, benefits, and compensation.",too many meetings that could've been an email,Senior Consultant,3,Aug,2022
116,Impact-driven work in the GPS sector,Not many -- WLB is great,Consultant,3,Aug,2022
117,"Opportunities for Networking
competitive Salary 
Amenities",Long hours as a auditor,Auditor,4,Aug,2022
118,Great company for expedited professional growth.,High pressure and long hours,Manager,4,Aug,2022
119,Teams care about you and you feel like your work provides value.,Can get very busy and overwhelming.,Solution Analyst,4,Aug,2022
120,The best resources and knowledge for how to succeed in a career.,Sometimes long hours and deadlines but personal growth can come from accountability.,Senior Manager,4,Aug,2022
121,great set of people if you find the right group,"Too much bureaucratic
very low compensation",Deloitte Tax Consultant,18,Aug,2022
122,Get to learn a lot,"Lots work , if u want to grow need to put 50-55 hrs a week",Manager,4,Aug,2022
123,good exposure and industry knowledge,burn out and competitive amongst peers,Manager,18,Aug,2022
124,"You learn a lot, working with many different clients.",Too much work and I am always working.,Audit Senior,18,Aug,2022
125,"Flexibility, great people and opportunities",Too much extra work on top of regular work,Senior Consultant,3,Aug,2022
126,"Flexible schedule, pay is good and still offers a pension plan. Company is huge and just about everywhere.","Getting stable work can be difficult. Performance is based on utilization, and as a new hire it can difficult to find projects. Lots of short term work, which means you can end up constantly looking for a job.",Manager,3,Aug,2022
127,Good but big not small,None but sometimes too bif,Consultant,17,Aug,2022
128,Great flexibility in work ans location,"You have to staff yourself, no one helps you out",Analyst,17,Aug,2022
129,"Nice starting salary, good benefits.",When they hire you out of college they do not give you a chance to express the type of work you would like to do. They assign you to a work type and don't let you switch. Projects seem to be long term and they care more about the project then any of the people.,Consultant,17,Aug,2022
130,"Nice starting salary, good benefits.",When they hire you out of college they do not give you a chance to express the type of work you would like to do. They assign you to a work type and don't let you switch. Projects seem to be long term and they care more about the project then any of the people.,Consultant,17,Aug,2022
131,"Work life balance
Professional attitude towards each employee
Learning is good","Salary is less compared to other big 4
Politics
Selective appraisal",Assistant Manager,17,Aug,2022
132,"flexible work schedule, remote opportunity","communication gaps, too big, difficult to find information",Staff Accountant,1,Aug,2022
133,"- Lot of time is spent on onboarding. 
- Everybody is great to work with.","- Work was slow to start.
- Might do odd hours",Software Engineer,2,Aug,2022
134,Fair with employees and generous with leave,"Other than the busy season (but nothing unexpected), everything has been great.",Audit Accountant,2,Aug,2022
135,Brand value and experience you get is the pro,"No work life balance. Employees are treated like work horses. Hard to take PTO. The firm promotes work life balance but, it doesn't exist at the project level. Minimum 12 to 15 hours work everyday with weekend work also for firm initiatives.",Manager,15,Aug,2022
136,Lots of exposure to clients,Long hours and burn out,Manager,17,Aug,2022
137,"Growth opportunities, good office culture",Public accounting will always have a challenge with work life balance,Senior Manager,29,Jul,2022
138,Great benefits. 25 PTO days. Pension. 401K,100% travel. Work/Life balance is horrible. Starting pay is extremely low.,Hospitality Consultant,2,Aug,2022
139,Travel depending on what you do can be fun. Name recognition and a certain clout from working at a large company.,Constant change of projects and bosses. Advisory is boring.,Senior Consultant,2,Aug,2022
140,- your experience is what you make of it,- compensation is not market competitive unfortunately,Consultant,16,Aug,2022
141,"Never boring, lots of opportunities for learning, fantastic colleagues","Work life balance, pay not always high enough to compete",Consultant,30,Jul,2022
142,"Emphasize employee experience, learning and development and family support",Limited control of your own schedule,Senior Manager,1,Aug,2022
143,Great company to work for I enjoy it,Lots of travel you have to like travel,Consultant,1,Aug,2022
144,"Improved salary/raises over the last 2 years
Challenging work environment
Good exposure to multiple clients and varying accounting issues","Staffing constraints, high turnover, long hours
Few options for upward mobility",Audit Senior,15,Aug,2022
145,"The benefits are great. Many paid holidays. People are great, lots of hard-working and talented people.","As everyone says, it's the work-life balance. I got lucky and was able to work 40 hours a week but I would probably never get promoted.",Senior Consultant,1,Aug,2022
146,Talented leaders and team members,"Aggressive time lines on projects, project budget and pricing is very aggressive causing no work life balance",Senior Manager,12,Aug,2022
147,"Great team, great experience, top firm","long hours, pay is not great",Financial Analyst,15,Aug,2022
148,Ability to work from home. Strong team chemistry. Good health benefits and provide well being subsidy,The 401k could be better,Senior Consultant,31,Jul,2022
149,Dealing With Pros & Good Connections.,Exetremely Unfair Work : Life Balance.,Senior Executive Consultant,31,Jul,2022
150,"- Supportive leadership and team
- Perfect balance between work and play (Happy Hours and team bonding events a plus)
- Manageable workload
- Competitive salary for recent grads and experienced hired","- PDM Model doesn’t have sufficient PTO allowance
- Sign on bonuses could be better
- Government clearance process takes too long",PROJECT DELIVERY SENIOR ANALYST,27,Jul,2022
151,Good training and nice pay,Politics and need to communicate to go higher,Consultant,30,Jul,2022
152,Excellent company to work with.,nothing to highlight here as con,Solutions Architect,29,Jul,2022
153,Great for career development and networking,Out grow compensation relatively quickly,Solution Analyst,29,Jul,2022
154,Lunch time out in the city with co-workers who became best buds.,One of the executives would always ask you questions right when you're about to go home.,Senior IT Analyst,29,Jul,2022
155,Nice perks like 500 dollar health bonus,Worried about the 20% rule,Technician,29,Jul,2022
156,"Good work-life balance
Good medical insurance 
Different opportunities to learn new technologies","Salary - for the beginners very low
Have to fill out too many internal forms on regular basis 
If you want to be promoted, doing a good job on the project not enough, need to do some extra work on internal firm projects for free",Solution Associate,26,Jul,2022
157,"- Everyone is super nice and supportive. 
-The resources available to you make the difference in your deliverables.
- You get paid even when you are on the bench.","- The process to get on your first engagement can be a bit nerve wrecking 
- Coaches are very hands off",Sr Consultant I,28,Jul,2022
158,"Networking events
Alot of young folks
People are willing to help you 
A lot of different things to try
W/L balance is great","If you're a CS major, there is VERY LITTLE coding work to do. Majority of it goes to Deloitte India. There is ML, AI and Data Engineering work you can find but Software development work is very hard to get. You end up getting assigned to Functional roles, and frankly you don't want to get your time wasted like that!",Solutions Engineering Analyst,22,Jul,2022
159,Awesome benefits and wonderful teams,Demanding work but fulfilling too,Senior Consultant,23,Jul,2022
160,Awesome benefits and wonderful teams,Demanding work but fulfilling too,Senior Consultant,23,Jul,2022
161,Great opportunities to gain valuable experience,Software development inexperience among staff,Consultant,27,Jul,2022
162,Deloitte is great about focusing on the well being of their employees. We have events to build team morale even when we aren’t in the office daily anymore.,We do work hard in the winter ( January - March) during busy season but that is to be expected.,Audit Senior,28,Jul,2022
163,there are good health benefits,work life balance can be nonexistent,Analyst,28,Jul,2022
164,"Smart colleagues, flexible culture for sure, stable and well established organization.","Politics, favoritism, internal communication can be chaotic on projects, your success is 100% in your hands.",Analyst,11,Aug,2022
165,"Supportive and collaborative culture, with smart people
Empowering innovative individuals for ideation
Available resources for value adds
Corporate perks","Work-life balance
Nontransparent, unfair compensation
Failure to retain smart and hard working talent
Redundancy in go-to-market strategies and assets reinventing the wheel
Siloed teams and groups",Senior Consultant,26,Jul,2022
166,Pro: Comp is great and fair,Con: WLB could be better,Advisory Consultant,26,Jul,2022
167,Good international company to get some experience,No Cons about this company,Business Analyst,27,Jul,2022
168,"benefits 
good pay
great environment","lack of boundaries
weird competition with some colleagues",Analyst,27,Jul,2022
169,"Work life balance
PTO policy",Very dependent on your manager,Consultant,27,Jul,2022
170,"compensation, excellent teams and superiors",public accounting workload is strenuous during busy season,Staff Accountant,26,Jul,2022
171,Get to rotate across different businesses in GPS,Pay is low relative to the rest of deloitte. Need to beg for work.,TEACH Analyst,26,Jul,2022
172,"Good benefits, people, company morals, high integrity, solid training.","will be overworked, very low bonuses and annual increases.",Senior Recruiter,9,Aug,2022
173,"exposure to large clients and projects, ability to grow and gain experience in different industries","long working hours, some projects are disorganized",Senior Consultant,10,Aug,2022
174,Good Compensation and Felxible Hours,I have no cons for this job,Analyst,25,Jul,2022
175,They are always giving small incentives for employees such as extra days off and $500-$1000 fitness and wfh reimbursements,"Everything is tied to utilization. Even when everyone is out on company paid holidays, your utilization is calculated as 0 out of 40 hours. What is the point of encouraging employees to take holidays and use vacation if you are going to ding the employee’s rating",Senior Consultant,8,Aug,2022
176,"Wellbeing subsidy of $1,000 annually, opportunity to take a sabbatical, lots of PTO",Rigid promotion structure with little flexibility,Consultant,25,Jul,2022
177,Learn so much and always lots of pathways for growth,Not great if you have a family or social life,Consultant,25,Jul,2022
178,401K matching & very good benefits,Sadly no work life balance,Analyst,23,Jul,2022
179,On boarding was great and the experience was 2nd to none,Everything else was mostly talk. The good old boy culture is deeply rooted. Hidden racism and masongeony is rampart,Specialist Master/Manager,6,Aug,2022
180,On boarding was great and the experience was 2nd to none,Everything else was mostly talk. The good old boy culture is deeply rooted. Hidden racism and masongeony is rampart,Specialist Master/Manager,6,Aug,2022
181,large platform and professional for accounting students,"long hours, high turnover, no wlb",Audit Assistant,25,Aug,2022
182,"Good name in the market. 
Good step stone 
Large Client exposure","- Golden cuff benefits: you need to be a high performer “which means you work 65 - 85 hours per week” to get the benefit. 
- Low payment 
- Has a very high turnover rate
- The system enables abusive and toxic culture",Senior Consultant,24,Aug,2022
183,There is an exponential growth when working,There is no work life balance,Anonymous Employee,18,Jul,2022
184,"Benefits
Opportunities 
Friendship 
Nice place to work",Takes a lot of your time away,Business Analyst,22,Jul,2022
185,Friendly and Hard working people,Not much upward movement in mgmt,Anonymous Employee,22,Jul,2022
186,They pay my salary so that’s cool,I have to work for them,Advisory,14,Jul,2022
187,A lot of tools to learn,Completely project dependent if you like Job or not,Devops Engineer,22,Jul,2022
188,Ability to work with young people,Overtime is unpaid and expected,Senior Assistant,5,Aug,2022
189,"pay, learning, fast growth within the company","long hours, tight turnarounds, high expectations",Tax Consultant II,20,Jul,2022
190,"Worldwide
Tons of growth potential
Fascinating work
Smart people
Good incentives and benefits
Entrepreneurial culture, can chart your own course","Messy structure
Can feel overwhelming
Can get lost without champion or guidance
Conflicting incentives",Manager,21,Jul,2022
191,"I am very happy with my time here at Deloitte. I am a Consultant within the Government and Public Sector practice and have met some great people here. There are a lot of different aspects of federal support that Deloitte provides, so there is something that could appeal to everyone. Deloitte's benefits are a differentiator for me, the well-being subsidy is first rate and the PTO policy is very flexible, I have never had an issue getting time off when I want or need it - people here are very understanding of work-life balance. To that point, I think they navigated flexible work well throughout the pandemic and did a really good job making sure employees were comfortable. I still work from home (very common amongst the people I speak with regularly) and Deloitte has done a lot in making it a comfortable experience.","This is specific to the Government and Public Sector (GPS) practice, but I personally find the work to be dull. The work is very mission-driven and has real world impacts to people across the US (and world), which I really like. However, the scale of the projects sometimes feel so large that it doesn't really feel like you are making as much of an impact. This could be a feature of just working for a really large company, but if you are someone who really wants to see the tangible outcomes of your work I am not sure this is the place.",Consultant,16,Jul,2022
192,"Innovative, bright, helpful employees on challenging engagements",No work-life Balance with average benefits,Senior Manager,18,Jul,2022
193,You will gain a lot of professional skills while putting in time here.,Up-and-out culture may not be for everyone.,Solution Specialist,20,Jul,2022
194,"Exposure to real-world business problems
Networking and career building
Professional Development","Long hours
Competitive environment goes overboard sometimes",Consultant,20,Jul,2022
195,"The knowledge you gain & resources available is something you don't often have in non-public accounting roles
Excellent Time off
Excellent supporting team (depends on your office and function)","Pay is below market and HR/Payroll doesn't seem to care. They'd rather just re-hire someone in your place for a way higher salary, than to actually adjust faithful employees salaries. Does not make any sense. Discrepancies for original hires vs experienced hire with similar levels of years of experience is significant.",IT Advisory Manager,20,Jul,2022
196,Fun group of people in the company,A lot of hours worked,Internal Auditor,2,Aug,2022
197,"Good Work Culture 
Own your Growth
Excellent Leadership",Tough to strike Work life balance,Sr Consultant,19,Jul,2022
198,"Good overall, lots of growth and learning opportunities.",The staffing system is challenging at first and the remote onboarding was terrible.,Senior Consultant,17,Jul,2022
199,"4 weeks PTO with 16 days off, flexible work location/hours, great company culture, great in-person events with office",Marketing is not compensated well at Deloitte.,SHINE Marketing,18,Jul,2022
200,So Deloitte has incredible people and a lot of benefits,Put me in wrong group to develop my wants,Risk Advisory Analyst,18,Jul,2022
201,"-Nice and helpful people 
-Organized","-To much work
-No overtime",Software Engineer,1,Aug,2022
202,You will be over worked and underpaid up to the day you’re laid off,All philanthropy and DEI is calculated and used for marketing,Project Manager,18,Aug,2022
